symbol,statement_type,period_end,line_item,value
AGNI.NS,income,2024-03-31 00:00:00,Tax Effect Of Unusual Items,0.0
AGNI.NS,income,2024-03-31 00:00:00,Tax Rate For Calcs,0.259958
AGNI.NS,income,2024-03-31 00:00:00,Normalized EBITDA,24301000.0
AGNI.NS,income,2024-03-31 00:00:00,Total Unusual Items,
AGNI.NS,income,2024-03-31 00:00:00,Total Unusual Items Excluding Goodwill,
AGNI.NS,income,2024-03-31 00:00:00,Net Income From Continuing Operation Net Minority Interest,3846000.0
AGNI.NS,income,2024-03-31 00:00:00,Reconciled Depreciation,2296000.0
AGNI.NS,income,2024-03-31 00:00:00,Reconciled Cost Of Revenue,232198000.0
AGNI.NS,income,2024-03-31 00:00:00,EBITDA,24301000.0
AGNI.NS,income,2024-03-31 00:00:00,EBIT,22004000.0
AGNI.NS,income,2024-03-31 00:00:00,Net Interest Income,-16807000.0
AGNI.NS,income,2024-03-31 00:00:00,Interest Expense,16807000.0
AGNI.NS,income,2024-03-31 00:00:00,Interest Income,
AGNI.NS,income,2024-03-31 00:00:00,Normalized Income,3846000.0
AGNI.NS,income,2024-03-31 00:00:00,Net Income From Continuing And Discontinued Operation,3846000.0
AGNI.NS,income,2024-03-31 00:00:00,Total Expenses,334215000.0
AGNI.NS,income,2024-03-31 00:00:00,Diluted Average Shares,
AGNI.NS,income,2024-03-31 00:00:00,Basic Average Shares,
AGNI.NS,income,2024-03-31 00:00:00,Diluted EPS,
AGNI.NS,income,2024-03-31 00:00:00,Basic EPS,
AGNI.NS,income,2024-03-31 00:00:00,Diluted NI Availto Com Stockholders,3846000.0
AGNI.NS,income,2024-03-31 00:00:00,Net Income Common Stockholders,3846000.0
AGNI.NS,income,2024-03-31 00:00:00,Otherunder Preferred Stock Dividend,0.0
AGNI.NS,income,2024-03-31 00:00:00,Net Income,3846000.0
AGNI.NS,income,2024-03-31 00:00:00,Minority Interests,
AGNI.NS,income,2024-03-31 00:00:00,Net Income Including Noncontrolling Interests,3846000.0
AGNI.NS,income,2024-03-31 00:00:00,Net Income Extraordinary,
AGNI.NS,income,2024-03-31 00:00:00,Net Income Discontinuous Operations,
AGNI.NS,income,2024-03-31 00:00:00,Net Income Continuous Operations,3846000.0
AGNI.NS,income,2024-03-31 00:00:00,Tax Provision,1351000.0
AGNI.NS,income,2024-03-31 00:00:00,Pretax Income,5197000.0
AGNI.NS,income,2024-03-31 00:00:00,Other Non Operating Income Expenses,3548000.0
AGNI.NS,income,2024-03-31 00:00:00,Special Income Charges,
AGNI.NS,income,2024-03-31 00:00:00,Other Special Charges,
AGNI.NS,income,2024-03-31 00:00:00,Write Off,
AGNI.NS,income,2024-03-31 00:00:00,Net Non Operating Interest Income Expense,-16807000.0
AGNI.NS,income,2024-03-31 00:00:00,Total Other Finance Cost,
AGNI.NS,income,2024-03-31 00:00:00,Interest Expense Non Operating,16807000.0
AGNI.NS,income,2024-03-31 00:00:00,Interest Income Non Operating,
AGNI.NS,income,2024-03-31 00:00:00,Operating Income,18456000.0
AGNI.NS,income,2024-03-31 00:00:00,Operating Expense,102017000.0
AGNI.NS,income,2024-03-31 00:00:00,Other Operating Expenses,64560000.0
AGNI.NS,income,2024-03-31 00:00:00,Depreciation And Amortization In Income Statement,2297000.0
AGNI.NS,income,2024-03-31 00:00:00,Amortization,
AGNI.NS,income,2024-03-31 00:00:00,Depreciation Income Statement,2297000.0
AGNI.NS,income,2024-03-31 00:00:00,Selling General And Administration,
AGNI.NS,income,2024-03-31 00:00:00,Selling And Marketing Expense,
AGNI.NS,income,2024-03-31 00:00:00,General And Administrative Expense,
AGNI.NS,income,2024-03-31 00:00:00,Gross Profit,120473000.0
AGNI.NS,income,2024-03-31 00:00:00,Cost Of Revenue,232198000.0
AGNI.NS,income,2024-03-31 00:00:00,Total Revenue,352671000.0
AGNI.NS,income,2024-03-31 00:00:00,Operating Revenue,352671000.0
AGNI.NS,income,2023-03-31 00:00:00,Tax Effect Of Unusual Items,0.0
AGNI.NS,income,2023-03-31 00:00:00,Tax Rate For Calcs,0.003317
AGNI.NS,income,2023-03-31 00:00:00,Normalized EBITDA,4409000.0
AGNI.NS,income,2023-03-31 00:00:00,Total Unusual Items,-15897000.0
AGNI.NS,income,2023-03-31 00:00:00,Total Unusual Items Excluding Goodwill,-15897000.0
AGNI.NS,income,2023-03-31 00:00:00,Net Income From Continuing Operation Net Minority Interest,-14124000.0
AGNI.NS,income,2023-03-31 00:00:00,Reconciled Depreciation,2166000.0
AGNI.NS,income,2023-03-31 00:00:00,Reconciled Cost Of Revenue,135839000.0
AGNI.NS,income,2023-03-31 00:00:00,EBITDA,4409000.0
AGNI.NS,income,2023-03-31 00:00:00,EBIT,2243000.0
AGNI.NS,income,2023-03-31 00:00:00,Net Interest Income,-16414000.0
AGNI.NS,income,2023-03-31 00:00:00,Interest Expense,16414000.0
AGNI.NS,income,2023-03-31 00:00:00,Interest Income,1315000.0
AGNI.NS,income,2023-03-31 00:00:00,Normalized Income,-14124000.0
AGNI.NS,income,2023-03-31 00:00:00,Net Income From Continuing And Discontinued Operation,-14124000.0
AGNI.NS,income,2023-03-31 00:00:00,Total Expenses,223591000.0
AGNI.NS,income,2023-03-31 00:00:00,Diluted Average Shares,16050000.0
AGNI.NS,income,2023-03-31 00:00:00,Basic Average Shares,16050000.0
AGNI.NS,income,2023-03-31 00:00:00,Diluted EPS,-0.88
AGNI.NS,income,2023-03-31 00:00:00,Basic EPS,-0.88
AGNI.NS,income,2023-03-31 00:00:00,Diluted NI Availto Com Stockholders,-14124000.0
AGNI.NS,income,2023-03-31 00:00:00,Net Income Common Stockholders,-14124000.0
AGNI.NS,income,2023-03-31 00:00:00,Otherunder Preferred Stock Dividend,0.0
AGNI.NS,income,2023-03-31 00:00:00,Net Income,-14124000.0
AGNI.NS,income,2023-03-31 00:00:00,Minority Interests,
AGNI.NS,income,2023-03-31 00:00:00,Net Income Including Noncontrolling Interests,-14124000.0
AGNI.NS,income,2023-03-31 00:00:00,Net Income Extraordinary,
AGNI.NS,income,2023-03-31 00:00:00,Net Income Discontinuous Operations,0.0
AGNI.NS,income,2023-03-31 00:00:00,Net Income Continuous Operations,-14124000.0
AGNI.NS,income,2023-03-31 00:00:00,Tax Provision,-47000.0
AGNI.NS,income,2023-03-31 00:00:00,Pretax Income,-14171000.0
AGNI.NS,income,2023-03-31 00:00:00,Other Non Operating Income Expenses,5641000.0
AGNI.NS,income,2023-03-31 00:00:00,Special Income Charges,-15897000.0
AGNI.NS,income,2023-03-31 00:00:00,Other Special Charges,4842000.0
AGNI.NS,income,2023-03-31 00:00:00,Write Off,11055000.0
AGNI.NS,income,2023-03-31 00:00:00,Net Non Operating Interest Income Expense,-16414000.0
AGNI.NS,income,2023-03-31 00:00:00,Total Other Finance Cost,
AGNI.NS,income,2023-03-31 00:00:00,Interest Expense Non Operating,16414000.0
AGNI.NS,income,2023-03-31 00:00:00,Interest Income Non Operating,1315000.0
AGNI.NS,income,2023-03-31 00:00:00,Operating Income,-3398000.0
AGNI.NS,income,2023-03-31 00:00:00,Operating Expense,87752000.0
AGNI.NS,income,2023-03-31 00:00:00,Other Operating Expenses,53482000.0
AGNI.NS,income,2023-03-31 00:00:00,Depreciation And Amortization In Income Statement,2166000.0
AGNI.NS,income,2023-03-31 00:00:00,Amortization,
AGNI.NS,income,2023-03-31 00:00:00,Depreciation Income Statement,2166000.0
AGNI.NS,income,2023-03-31 00:00:00,Selling General And Administration,160000.0
AGNI.NS,income,2023-03-31 00:00:00,Selling And Marketing Expense,
AGNI.NS,income,2023-03-31 00:00:00,General And Administrative Expense,160000.0
AGNI.NS,income,2023-03-31 00:00:00,Gross Profit,84354000.0
AGNI.NS,income,2023-03-31 00:00:00,Cost Of Revenue,135839000.0
AGNI.NS,income,2023-03-31 00:00:00,Total Revenue,220193000.0
AGNI.NS,income,2023-03-31 00:00:00,Operating Revenue,220193000.0
AGNI.NS,income,2022-03-31 00:00:00,Tax Effect Of Unusual Items,-4926901.655965
AGNI.NS,income,2022-03-31 00:00:00,Tax Rate For Calcs,0.259885
AGNI.NS,income,2022-03-31 00:00:00,Normalized EBITDA,35657000.0
AGNI.NS,income,2022-03-31 00:00:00,Total Unusual Items,-18958000.0
AGNI.NS,income,2022-03-31 00:00:00,Total Unusual Items Excluding Goodwill,-18958000.0
