line_item,period,value,symbol
Tax Effect Of Unusual Items,2024-03-31 00:00:00,3639050.465605,AJOONI.NS
Tax Rate For Calcs,2024-03-31 00:00:00,0.278662,AJOONI.NS
Normalized EBITDA,2024-03-31 00:00:00,31131000.0,AJOONI.NS
Total Unusual Items,2024-03-31 00:00:00,13059000.0,AJOONI.NS
Total Unusual Items Excluding Goodwill,2024-03-31 00:00:00,13059000.0,AJOONI.NS
Net Income From Continuing Operation Net Minority Interest,2024-03-31 00:00:00,21612000.0,AJOONI.NS
Reconciled Depreciation,2024-03-31 00:00:00,8742000.0,AJOONI.NS
Reconciled Cost Of Revenue,2024-03-31 00:00:00,703499000.0,AJOONI.NS
EBITDA,2024-03-31 00:00:00,44190000.0,AJOONI.NS
EBIT,2024-03-31 00:00:00,35448000.0,AJOONI.NS
Net Interest Income,2024-03-31 00:00:00,-556000.0,AJOONI.NS
Interest Expense,2024-03-31 00:00:00,5487000.0,AJOONI.NS
Interest Income,2024-03-31 00:00:00,5013000.0,AJOONI.NS
Normalized Income,2024-03-31 00:00:00,12192050.465605,AJOONI.NS
Net Income From Continuing And Discontinued Operation,2024-03-31 00:00:00,21612000.0,AJOONI.NS
Total Expenses,2024-03-31 00:00:00,786017000.0,AJOONI.NS
Rent Expense Supplemental,2024-03-31 00:00:00,1171000.0,AJOONI.NS
Diluted Average Shares,2024-03-31 00:00:00,,AJOONI.NS
Basic Average Shares,2024-03-31 00:00:00,,AJOONI.NS
Diluted EPS,2024-03-31 00:00:00,,AJOONI.NS
Basic EPS,2024-03-31 00:00:00,,AJOONI.NS
Diluted NI Availto Com Stockholders,2024-03-31 00:00:00,21612000.0,AJOONI.NS
Net Income Common Stockholders,2024-03-31 00:00:00,21612000.0,AJOONI.NS
Otherunder Preferred Stock Dividend,2024-03-31 00:00:00,0.0,AJOONI.NS
Net Income,2024-03-31 00:00:00,21612000.0,AJOONI.NS
Net Income Including Noncontrolling Interests,2024-03-31 00:00:00,21612000.0,AJOONI.NS
Net Income Discontinuous Operations,2024-03-31 00:00:00,0.0,AJOONI.NS
Net Income Continuous Operations,2024-03-31 00:00:00,21612000.0,AJOONI.NS
Tax Provision,2024-03-31 00:00:00,8349000.0,AJOONI.NS
Pretax Income,2024-03-31 00:00:00,29961000.0,AJOONI.NS
Other Non Operating Income Expenses,2024-03-31 00:00:00,2279000.0,AJOONI.NS
Special Income Charges,2024-03-31 00:00:00,13059000.0,AJOONI.NS
Other Special Charges,2024-03-31 00:00:00,-13059000.0,AJOONI.NS
Write Off,2024-03-31 00:00:00,0.0,AJOONI.NS
Net Non Operating Interest Income Expense,2024-03-31 00:00:00,-556000.0,AJOONI.NS
Total Other Finance Cost,2024-03-31 00:00:00,82000.0,AJOONI.NS
Interest Expense Non Operating,2024-03-31 00:00:00,5487000.0,AJOONI.NS
Interest Income Non Operating,2024-03-31 00:00:00,5013000.0,AJOONI.NS
Operating Income,2024-03-31 00:00:00,15129000.0,AJOONI.NS
Operating Expense,2024-03-31 00:00:00,82518000.0,AJOONI.NS
Other Operating Expenses,2024-03-31 00:00:00,18369000.0,AJOONI.NS
Depreciation And Amortization In Income Statement,2024-03-31 00:00:00,8742000.0,AJOONI.NS
Depreciation Income Statement,2024-03-31 00:00:00,8742000.0,AJOONI.NS
Research And Development,2024-03-31 00:00:00,670000.0,AJOONI.NS
Selling General And Administration,2024-03-31 00:00:00,32379000.0,AJOONI.NS
Selling And Marketing Expense,2024-03-31 00:00:00,24464000.0,AJOONI.NS
General And Administrative Expense,2024-03-31 00:00:00,7915000.0,AJOONI.NS
Rent And Landing Fees,2024-03-31 00:00:00,1171000.0,AJOONI.NS
Gross Profit,2024-03-31 00:00:00,97647000.0,AJOONI.NS
Cost Of Revenue,2024-03-31 00:00:00,703499000.0,AJOONI.NS
Total Revenue,2024-03-31 00:00:00,801146000.0,AJOONI.NS
Operating Revenue,2024-03-31 00:00:00,801146000.0,AJOONI.NS
Tax Effect Of Unusual Items,2023-03-31 00:00:00,-7456.367326,AJOONI.NS
Tax Rate For Calcs,2023-03-31 00:00:00,0.286783,AJOONI.NS
Normalized EBITDA,2023-03-31 00:00:00,30529000.0,AJOONI.NS
Total Unusual Items,2023-03-31 00:00:00,-26000.0,AJOONI.NS
Total Unusual Items Excluding Goodwill,2023-03-31 00:00:00,-26000.0,AJOONI.NS
Net Income From Continuing Operation Net Minority Interest,2023-03-31 00:00:00,11247000.0,AJOONI.NS
Reconciled Depreciation,2023-03-31 00:00:00,10049000.0,AJOONI.NS
Reconciled Cost Of Revenue,2023-03-31 00:00:00,657427000.0,AJOONI.NS
EBITDA,2023-03-31 00:00:00,30503000.0,AJOONI.NS
EBIT,2023-03-31 00:00:00,20454000.0,AJOONI.NS
Net Interest Income,2023-03-31 00:00:00,-2738000.0,AJOONI.NS
Interest Expense,2023-03-31 00:00:00,4686000.0,AJOONI.NS
Interest Income,2023-03-31 00:00:00,2045000.0,AJOONI.NS
Normalized Income,2023-03-31 00:00:00,11265543.632674,AJOONI.NS
Net Income From Continuing And Discontinued Operation,2023-03-31 00:00:00,11247000.0,AJOONI.NS
Total Expenses,2023-03-31 00:00:00,727242000.0,AJOONI.NS
Rent Expense Supplemental,2023-03-31 00:00:00,971000.0,AJOONI.NS
Diluted Average Shares,2023-03-31 00:00:00,7460613.0,AJOONI.NS
Basic Average Shares,2023-03-31 00:00:00,7460613.0,AJOONI.NS
Diluted EPS,2023-03-31 00:00:00,1.508076,AJOONI.NS
Basic EPS,2023-03-31 00:00:00,1.508076,AJOONI.NS
Diluted NI Availto Com Stockholders,2023-03-31 00:00:00,11247000.0,AJOONI.NS
Net Income Common Stockholders,2023-03-31 00:00:00,11247000.0,AJOONI.NS
Otherunder Preferred Stock Dividend,2023-03-31 00:00:00,0.0,AJOONI.NS
