line_item,period,value,symbol
Tax Effect Of Unusual Items,2024-03-31 00:00:00,0.0,ANNAPURNA.NS
Tax Rate For Calcs,2024-03-31 00:00:00,0.266872,ANNAPURNA.NS
Normalized EBITDA,2024-03-31 00:00:00,281349000.0,ANNAPURNA.NS
Total Unusual Items,2024-03-31 00:00:00,0.0,ANNAPURNA.NS
Total Unusual Items Excluding Goodwill,2024-03-31 00:00:00,0.0,ANNAPURNA.NS
Net Income From Continuing Operation Net Minority Interest,2024-03-31 00:00:00,131323000.0,ANNAPURNA.NS
Reconciled Depreciation,2024-03-31 00:00:00,39612000.0,ANNAPURNA.NS
Reconciled Cost Of Revenue,2024-03-31 00:00:00,1694357000.0,ANNAPURNA.NS
EBITDA,2024-03-31 00:00:00,281349000.0,ANNAPURNA.NS
EBIT,2024-03-31 00:00:00,241058000.0,ANNAPURNA.NS
Net Interest Income,2024-03-31 00:00:00,-61931000.0,ANNAPURNA.NS
Interest Expense,2024-03-31 00:00:00,61931000.0,ANNAPURNA.NS
Interest Income,2024-03-31 00:00:00,,ANNAPURNA.NS
Normalized Income,2024-03-31 00:00:00,131323000.0,ANNAPURNA.NS
Net Income From Continuing And Discontinued Operation,2024-03-31 00:00:00,131323000.0,ANNAPURNA.NS
Total Expenses,2024-03-31 00:00:00,2416366000.0,ANNAPURNA.NS
Rent Expense Supplemental,2024-03-31 00:00:00,,ANNAPURNA.NS
Diluted Average Shares,2024-03-31 00:00:00,,ANNAPURNA.NS
Basic Average Shares,2024-03-31 00:00:00,,ANNAPURNA.NS
Diluted EPS,2024-03-31 00:00:00,,ANNAPURNA.NS
Basic EPS,2024-03-31 00:00:00,,ANNAPURNA.NS
Diluted NI Availto Com Stockholders,2024-03-31 00:00:00,131323000.0,ANNAPURNA.NS
Net Income Common Stockholders,2024-03-31 00:00:00,131323000.0,ANNAPURNA.NS
Otherunder Preferred Stock Dividend,2024-03-31 00:00:00,0.0,ANNAPURNA.NS
Net Income,2024-03-31 00:00:00,131323000.0,ANNAPURNA.NS
Net Income Including Noncontrolling Interests,2024-03-31 00:00:00,131323000.0,ANNAPURNA.NS
Net Income Discontinuous Operations,2024-03-31 00:00:00,,ANNAPURNA.NS
Net Income Continuous Operations,2024-03-31 00:00:00,131323000.0,ANNAPURNA.NS
Tax Provision,2024-03-31 00:00:00,47804000.0,ANNAPURNA.NS
Pretax Income,2024-03-31 00:00:00,179127000.0,ANNAPURNA.NS
Other Non Operating Income Expenses,2024-03-31 00:00:00,7697000.0,ANNAPURNA.NS
Special Income Charges,2024-03-31 00:00:00,0.0,ANNAPURNA.NS
Net Non Operating Interest Income Expense,2024-03-31 00:00:00,-61931000.0,ANNAPURNA.NS
Total Other Finance Cost,2024-03-31 00:00:00,,ANNAPURNA.NS
Interest Expense Non Operating,2024-03-31 00:00:00,61931000.0,ANNAPURNA.NS
Interest Income Non Operating,2024-03-31 00:00:00,,ANNAPURNA.NS
Operating Income,2024-03-31 00:00:00,233362000.0,ANNAPURNA.NS
Operating Expense,2024-03-31 00:00:00,722009000.0,ANNAPURNA.NS
Other Operating Expenses,2024-03-31 00:00:00,525124000.0,ANNAPURNA.NS
Depreciation And Amortization In Income Statement,2024-03-31 00:00:00,40291000.0,ANNAPURNA.NS
Amortization,2024-03-31 00:00:00,,ANNAPURNA.NS
Depreciation Income Statement,2024-03-31 00:00:00,40291000.0,ANNAPURNA.NS
Selling General And Administration,2024-03-31 00:00:00,,ANNAPURNA.NS
Selling And Marketing Expense,2024-03-31 00:00:00,,ANNAPURNA.NS
General And Administrative Expense,2024-03-31 00:00:00,,ANNAPURNA.NS
Rent And Landing Fees,2024-03-31 00:00:00,,ANNAPURNA.NS
Gross Profit,2024-03-31 00:00:00,955371000.0,ANNAPURNA.NS
Cost Of Revenue,2024-03-31 00:00:00,1694357000.0,ANNAPURNA.NS
Total Revenue,2024-03-31 00:00:00,2649728000.0,ANNAPURNA.NS
Operating Revenue,2024-03-31 00:00:00,2649728000.0,ANNAPURNA.NS
Tax Effect Of Unusual Items,2023-03-31 00:00:00,0.0,ANNAPURNA.NS
Tax Rate For Calcs,2023-03-31 00:00:00,0.284236,ANNAPURNA.NS
Normalized EBITDA,2023-03-31 00:00:00,135437000.0,ANNAPURNA.NS
Total Unusual Items,2023-03-31 00:00:00,0.0,ANNAPURNA.NS
Total Unusual Items Excluding Goodwill,2023-03-31 00:00:00,0.0,ANNAPURNA.NS
Net Income From Continuing Operation Net Minority Interest,2023-03-31 00:00:00,71444000.0,ANNAPURNA.NS
Reconciled Depreciation,2023-03-31 00:00:00,18207000.0,ANNAPURNA.NS
Reconciled Cost Of Revenue,2023-03-31 00:00:00,1081108000.0,ANNAPURNA.NS
EBITDA,2023-03-31 00:00:00,135437000.0,ANNAPURNA.NS
EBIT,2023-03-31 00:00:00,117230000.0,ANNAPURNA.NS
Net Interest Income,2023-03-31 00:00:00,-17415000.0,ANNAPURNA.NS
Interest Expense,2023-03-31 00:00:00,17415000.0,ANNAPURNA.NS
Interest Income,2023-03-31 00:00:00,3778000.0,ANNAPURNA.NS
Normalized Income,2023-03-31 00:00:00,71444000.0,ANNAPURNA.NS
Net Income From Continuing And Discontinued Operation,2023-03-31 00:00:00,71444000.0,ANNAPURNA.NS
Total Expenses,2023-03-31 00:00:00,1489159000.0,ANNAPURNA.NS
Rent Expense Supplemental,2023-03-31 00:00:00,18387000.0,ANNAPURNA.NS
Diluted Average Shares,2023-03-31 00:00:00,16423908.0,ANNAPURNA.NS
Basic Average Shares,2023-03-31 00:00:00,16423908.0,ANNAPURNA.NS
Diluted EPS,2023-03-31 00:00:00,4.35,ANNAPURNA.NS
Basic EPS,2023-03-31 00:00:00,4.35,ANNAPURNA.NS
Diluted NI Availto Com Stockholders,2023-03-31 00:00:00,71444000.0,ANNAPURNA.NS
Net Income Common Stockholders,2023-03-31 00:00:00,71444000.0,ANNAPURNA.NS
Otherunder Preferred Stock Dividend,2023-03-31 00:00:00,0.0,ANNAPURNA.NS
Net Income,2023-03-31 00:00:00,71444000.0,ANNAPURNA.NS
Net Income Including Noncontrolling Interests,2023-03-31 00:00:00,71444000.0,ANNAPURNA.NS
