symbol,statement_type,period_end,line_item,value
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Ordinary Shares Number,37667628.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Share Issued,37667628.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Net Debt,12462880000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Total Debt,12977340000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Tangible Book Value,-12930600000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Invested Capital,13518840000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Working Capital,1603420000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Net Tangible Assets,-12930600000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Capital Lease Obligations,12110000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Common Stock Equity,553610000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Total Capitalization,12480790000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Total Equity Gross Minority Interest,6269090000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Minority Interest,5715480000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Stockholders Equity,553610000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Other Equity Interest,1932320000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Retained Earnings,-3442100000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Additional Paid In Capital,1864840000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Capital Stock,188340000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Common Stock,188340000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Total Liabilities Net Minority Interest,18004420000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Total Non Current Liabilities Net Minority Interest,14276230000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Other Non Current Liabilities,297290000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Non Current Accrued Expenses,249680000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Tradeand Other Payables Non Current,10100000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Non Current Deferred Revenue,430920000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Non Current Deferred Taxes Liabilities,1014600000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Long Term Debt And Capital Lease Obligation,11927180000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Long Term Capital Lease Obligation,0.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Long Term Debt,11927180000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Long Term Provisions,146460000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Current Liabilities,3728190000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Other Current Liabilities,1402672000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Current Deferred Taxes Liabilities,
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Current Debt And Capital Lease Obligation,1050160000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Current Capital Lease Obligation,12110000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Current Debt,1038050000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Pensionand Other Post Retirement Benefit Plans Current,90330000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Current Provisions,90360000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Payables,609330000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Other Payable,229330000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Total Tax Payable,4020000.0
BFUTILITIE.NS,balance_sheet,2024-03-31 00:00:00,Accounts Payable,375980000.0
