symbol,statement_type,period_end,line_item,value
EFACTOR.NS,income,2024-03-31 00:00:00,Tax Effect Of Unusual Items,0.0
EFACTOR.NS,income,2024-03-31 00:00:00,Tax Rate For Calcs,0.259156
EFACTOR.NS,income,2024-03-31 00:00:00,Normalized EBITDA,228557000.0
EFACTOR.NS,income,2024-03-31 00:00:00,Total Unusual Items,
EFACTOR.NS,income,2024-03-31 00:00:00,Total Unusual Items Excluding Goodwill,
EFACTOR.NS,income,2024-03-31 00:00:00,Net Income From Continuing Operation Net Minority Interest,153614000.0
EFACTOR.NS,income,2024-03-31 00:00:00,Reconciled Depreciation,10521000.0
EFACTOR.NS,income,2024-03-31 00:00:00,Reconciled Cost Of Revenue,1130772000.0
EFACTOR.NS,income,2024-03-31 00:00:00,EBITDA,228557000.0
EFACTOR.NS,income,2024-03-31 00:00:00,EBIT,218036000.0
EFACTOR.NS,income,2024-03-31 00:00:00,Net Interest Income,-10686000.0
EFACTOR.NS,income,2024-03-31 00:00:00,Interest Expense,10686000.0
EFACTOR.NS,income,2024-03-31 00:00:00,Interest Income,
EFACTOR.NS,income,2024-03-31 00:00:00,Normalized Income,153614000.0
EFACTOR.NS,income,2024-03-31 00:00:00,Net Income From Continuing And Discontinued Operation,153614000.0
EFACTOR.NS,income,2024-03-31 00:00:00,Total Expenses,1274369000.0
EFACTOR.NS,income,2024-03-31 00:00:00,Rent Expense Supplemental,
EFACTOR.NS,income,2024-03-31 00:00:00,Diluted Average Shares,11270286.0
EFACTOR.NS,income,2024-03-31 00:00:00,Basic Average Shares,
EFACTOR.NS,income,2024-03-31 00:00:00,Diluted EPS,
EFACTOR.NS,income,2024-03-31 00:00:00,Basic EPS,
EFACTOR.NS,income,2024-03-31 00:00:00,Diluted NI Availto Com Stockholders,153614000.0
EFACTOR.NS,income,2024-03-31 00:00:00,Net Income Common Stockholders,153614000.0
EFACTOR.NS,income,2024-03-31 00:00:00,Otherunder Preferred Stock Dividend,0.0
EFACTOR.NS,income,2024-03-31 00:00:00,Net Income,153614000.0
EFACTOR.NS,income,2024-03-31 00:00:00,Minority Interests,
EFACTOR.NS,income,2024-03-31 00:00:00,Net Income Including Noncontrolling Interests,153614000.0
EFACTOR.NS,income,2024-03-31 00:00:00,Net Income Continuous Operations,153614000.0
EFACTOR.NS,income,2024-03-31 00:00:00,Tax Provision,53736000.0
EFACTOR.NS,income,2024-03-31 00:00:00,Pretax Income,207350000.0
EFACTOR.NS,income,2024-03-31 00:00:00,Other Non Operating Income Expenses,6832000.0
EFACTOR.NS,income,2024-03-31 00:00:00,Special Income Charges,
EFACTOR.NS,income,2024-03-31 00:00:00,Other Special Charges,
EFACTOR.NS,income,2024-03-31 00:00:00,Write Off,
EFACTOR.NS,income,2024-03-31 00:00:00,Net Non Operating Interest Income Expense,-10686000.0
EFACTOR.NS,income,2024-03-31 00:00:00,Total Other Finance Cost,
EFACTOR.NS,income,2024-03-31 00:00:00,Interest Expense Non Operating,10686000.0
EFACTOR.NS,income,2024-03-31 00:00:00,Interest Income Non Operating,
EFACTOR.NS,income,2024-03-31 00:00:00,Operating Income,211205000.0
EFACTOR.NS,income,2024-03-31 00:00:00,Operating Expense,143597000.0
EFACTOR.NS,income,2024-03-31 00:00:00,Other Operating Expenses,
EFACTOR.NS,income,2024-03-31 00:00:00,Depreciation And Amortization In Income Statement,10521000.0
EFACTOR.NS,income,2024-03-31 00:00:00,Amortization,
EFACTOR.NS,income,2024-03-31 00:00:00,Depreciation Income Statement,10521000.0
EFACTOR.NS,income,2024-03-31 00:00:00,Selling General And Administration,54189000.0
EFACTOR.NS,income,2024-03-31 00:00:00,Selling And Marketing Expense,
EFACTOR.NS,income,2024-03-31 00:00:00,General And Administrative Expense,54189000.0
EFACTOR.NS,income,2024-03-31 00:00:00,Rent And Landing Fees,
EFACTOR.NS,income,2024-03-31 00:00:00,Gross Profit,354802000.0
EFACTOR.NS,income,2024-03-31 00:00:00,Cost Of Revenue,1130772000.0
EFACTOR.NS,income,2024-03-31 00:00:00,Total Revenue,1485574000.0
EFACTOR.NS,income,2024-03-31 00:00:00,Operating Revenue,1485574000.0
EFACTOR.NS,income,2023-03-31 00:00:00,Tax Effect Of Unusual Items,0.0
EFACTOR.NS,income,2023-03-31 00:00:00,Tax Rate For Calcs,0.269004
EFACTOR.NS,income,2023-03-31 00:00:00,Normalized EBITDA,118816000.0
EFACTOR.NS,income,2023-03-31 00:00:00,Total Unusual Items,-1224000.0
EFACTOR.NS,income,2023-03-31 00:00:00,Total Unusual Items Excluding Goodwill,-1224000.0
EFACTOR.NS,income,2023-03-31 00:00:00,Net Income From Continuing Operation Net Minority Interest,72767000.0
EFACTOR.NS,income,2023-03-31 00:00:00,Reconciled Depreciation,9367000.0
EFACTOR.NS,income,2023-03-31 00:00:00,Reconciled Cost Of Revenue,969716000.0
EFACTOR.NS,income,2023-03-31 00:00:00,EBITDA,118816000.0
EFACTOR.NS,income,2023-03-31 00:00:00,EBIT,109449000.0
EFACTOR.NS,income,2023-03-31 00:00:00,Net Interest Income,-9904000.0
EFACTOR.NS,income,2023-03-31 00:00:00,Interest Expense,9904000.0
EFACTOR.NS,income,2023-03-31 00:00:00,Interest Income,1313000.0
EFACTOR.NS,income,2023-03-31 00:00:00,Normalized Income,72767000.0
EFACTOR.NS,income,2023-03-31 00:00:00,Net Income From Continuing And Discontinued Operation,72767000.0
EFACTOR.NS,income,2023-03-31 00:00:00,Total Expenses,1085072000.0
EFACTOR.NS,income,2023-03-31 00:00:00,Rent Expense Supplemental,7277000.0
EFACTOR.NS,income,2023-03-31 00:00:00,Diluted Average Shares,13088098.0
EFACTOR.NS,income,2023-03-31 00:00:00,Basic Average Shares,13088098.0
EFACTOR.NS,income,2023-03-31 00:00:00,Diluted EPS,5.559784
EFACTOR.NS,income,2023-03-31 00:00:00,Basic EPS,5.559784
EFACTOR.NS,income,2023-03-31 00:00:00,Diluted NI Availto Com Stockholders,72767000.0
EFACTOR.NS,income,2023-03-31 00:00:00,Net Income Common Stockholders,72767000.0
EFACTOR.NS,income,2023-03-31 00:00:00,Otherunder Preferred Stock Dividend,0.0
EFACTOR.NS,income,2023-03-31 00:00:00,Net Income,72767000.0
EFACTOR.NS,income,2023-03-31 00:00:00,Minority Interests,0.0
EFACTOR.NS,income,2023-03-31 00:00:00,Net Income Including Noncontrolling Interests,72767000.0
EFACTOR.NS,income,2023-03-31 00:00:00,Net Income Continuous Operations,72767000.0
EFACTOR.NS,income,2023-03-31 00:00:00,Tax Provision,26778000.0
