symbol,date_reported,holder_name,pctHeld,shares,value,pctChange,holder_type
FINCABLES.NS,2022-09-30,Matthews International Fds-Matthews Emerging Mkts Small Companies Fd,0.0078,1191546.0,1090979488.0,0.0712,institutional
FINCABLES.NS,2022-07-31,Vanguard International Stock Index-Emerging Markets Stk,0.0064,978993.0,896365966.0,0.0,institutional
FINCABLES.NS,2022-07-31,Vanguard International Stock Index-Total Intl Stock Indx,0.0062,941928.0,862429253.0,0.0,institutional
FINCABLES.NS,2022-09-30,iShares Core MSCI Emerging Markets ETF,0.0056,860604.0,787969001.0,-0.019299999,institutional
FINCABLES.NS,2022-07-31,DFA Emerging Markets Core Equity Portfolio,0.0036000002,550383.0,503930661.0,0.0,institutional
FINCABLES.NS,2022-07-31,DFA Investment Dimensions-DFA Emerging Mkts Value,0.0032,490802.0,449378299.0,-0.0043,institutional
FINCABLES.NS,2022-07-31,DFA Emerging Markets Small Cap Series,0.0018000001,272441.0,249446972.0,0.0,institutional
FINCABLES.NS,2022-09-30,iShares Core MSCI Total International Stock ETF,0.0018000001,277500.0,254078993.0,0.0055,institutional
FINCABLES.NS,2022-07-31,Vanguard Intl Equity Index Fds-FTSE All World ex U.S.Small Cap Index,0.0017,259394.0,237501140.0,0.0,institutional
FINCABLES.NS,2022-09-30,WisdomTree Tr-WisdomTree Emerging Markets Small Cap Dividend Fund,0.0017,253413.0,232024936.0,0.0097,institutional
