symbol,statement_type,period_end,line_item,value
FLFL.NS,income,2022-03-31 00:00:00,Tax Effect Of Unusual Items,-2969310000.0
FLFL.NS,income,2022-03-31 00:00:00,Tax Rate For Calcs,0.3
FLFL.NS,income,2022-03-31 00:00:00,Normalized EBITDA,-5485100000.0
FLFL.NS,income,2022-03-31 00:00:00,Total Unusual Items,-9897700000.0
FLFL.NS,income,2022-03-31 00:00:00,Total Unusual Items Excluding Goodwill,-9897700000.0
FLFL.NS,income,2022-03-31 00:00:00,Net Income From Continuing Operation Net Minority Interest,-25489000000.0
FLFL.NS,income,2022-03-31 00:00:00,Reconciled Depreciation,6134300000.0
FLFL.NS,income,2022-03-31 00:00:00,Reconciled Cost Of Revenue,24096200000.0
FLFL.NS,income,2022-03-31 00:00:00,EBITDA,-15382800000.0
FLFL.NS,income,2022-03-31 00:00:00,EBIT,-21517100000.0
FLFL.NS,income,2022-03-31 00:00:00,Net Interest Income,-3030300000.0
FLFL.NS,income,2022-03-31 00:00:00,Interest Expense,2886800000.0
FLFL.NS,income,2022-03-31 00:00:00,Interest Income,368100000.0
FLFL.NS,income,2022-03-31 00:00:00,Normalized Income,-18560610000.0
FLFL.NS,income,2022-03-31 00:00:00,Net Income From Continuing And Discontinued Operation,-25489000000.0
FLFL.NS,income,2022-03-31 00:00:00,Total Expenses,41133800000.0
FLFL.NS,income,2022-03-31 00:00:00,Rent Expense Supplemental,982800000.0
FLFL.NS,income,2022-03-31 00:00:00,Diluted Average Shares,201800000.0
FLFL.NS,income,2022-03-31 00:00:00,Basic Average Shares,201800000.0
FLFL.NS,income,2022-03-31 00:00:00,Diluted EPS,-127.6
FLFL.NS,income,2022-03-31 00:00:00,Basic EPS,-127.6
FLFL.NS,income,2022-03-31 00:00:00,Diluted NI Availto Com Stockholders,-25489000000.0
FLFL.NS,income,2022-03-31 00:00:00,Net Income Common Stockholders,-25489000000.0
FLFL.NS,income,2022-03-31 00:00:00,Otherunder Preferred Stock Dividend,0.0
FLFL.NS,income,2022-03-31 00:00:00,Net Income,-25489000000.0
FLFL.NS,income,2022-03-31 00:00:00,Minority Interests,0.0
FLFL.NS,income,2022-03-31 00:00:00,Net Income Including Noncontrolling Interests,-25489000000.0
FLFL.NS,income,2022-03-31 00:00:00,Net Income Continuous Operations,-25489000000.0
FLFL.NS,income,2022-03-31 00:00:00,Tax Provision,729700000.0
FLFL.NS,income,2022-03-31 00:00:00,Pretax Income,-24403900000.0
FLFL.NS,income,2022-03-31 00:00:00,Other Non Operating Income Expenses,105000000.0
FLFL.NS,income,2022-03-31 00:00:00,Special Income Charges,-5397700000.0
FLFL.NS,income,2022-03-31 00:00:00,Other Special Charges,5395800000.0
FLFL.NS,income,2022-03-31 00:00:00,Write Off,1900000.0
FLFL.NS,income,2022-03-31 00:00:00,Net Non Operating Interest Income Expense,-3030300000.0
FLFL.NS,income,2022-03-31 00:00:00,Total Other Finance Cost,511600000.0
FLFL.NS,income,2022-03-31 00:00:00,Interest Expense Non Operating,2886800000.0
FLFL.NS,income,2022-03-31 00:00:00,Interest Income Non Operating,368100000.0
FLFL.NS,income,2022-03-31 00:00:00,Operating Income,-11580800000.0
FLFL.NS,income,2022-03-31 00:00:00,Operating Expense,17037600000.0
FLFL.NS,income,2022-03-31 00:00:00,Other Operating Expenses,6893800000.0
FLFL.NS,income,2022-03-31 00:00:00,Depreciation And Amortization In Income Statement,6134300000.0
FLFL.NS,income,2022-03-31 00:00:00,Depreciation Income Statement,6134300000.0
FLFL.NS,income,2022-03-31 00:00:00,Selling General And Administration,953000000.0
FLFL.NS,income,2022-03-31 00:00:00,Selling And Marketing Expense,690000000.0
FLFL.NS,income,2022-03-31 00:00:00,General And Administrative Expense,263000000.0
FLFL.NS,income,2022-03-31 00:00:00,Rent And Landing Fees,982800000.0
FLFL.NS,income,2022-03-31 00:00:00,Gross Profit,5456800000.0
FLFL.NS,income,2022-03-31 00:00:00,Cost Of Revenue,24096200000.0
FLFL.NS,income,2022-03-31 00:00:00,Total Revenue,29553000000.0
FLFL.NS,income,2022-03-31 00:00:00,Operating Revenue,29553000000.0
