symbol,statement_type,period_end,line_item,value
GLOBALVECT.NS,income,2024-03-31 00:00:00,Tax Effect Of Unusual Items,14093100.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Tax Rate For Calcs,0.3
GLOBALVECT.NS,income,2024-03-31 00:00:00,Normalized EBITDA,1010691000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Total Unusual Items,46977000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Total Unusual Items Excluding Goodwill,46977000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Net Income From Continuing Operation Net Minority Interest,12061000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Reconciled Depreciation,717498000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Reconciled Cost Of Revenue,4212153000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,EBITDA,1057668000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,EBIT,340170000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Net Interest Income,-242623000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Interest Expense,316800000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Interest Income,93576000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Normalized Income,-20822900.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Net Income From Continuing And Discontinued Operation,12061000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Total Expenses,4734048000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Rent Expense Supplemental,765553000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Diluted Average Shares,14000000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Basic Average Shares,14000000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Diluted EPS,0.86
GLOBALVECT.NS,income,2024-03-31 00:00:00,Basic EPS,0.86
GLOBALVECT.NS,income,2024-03-31 00:00:00,Diluted NI Availto Com Stockholders,12061000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Net Income Common Stockholders,12061000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Otherunder Preferred Stock Dividend,0.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Net Income,12061000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Net Income Including Noncontrolling Interests,12061000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Net Income Continuous Operations,12061000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Tax Provision,11309000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Pretax Income,23370000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Other Non Operating Income Expenses,183000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Special Income Charges,122004000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Other Special Charges,-122004000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Write Off,0.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Net Non Operating Interest Income Expense,-242623000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Total Other Finance Cost,19399000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Interest Expense Non Operating,316800000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Interest Income Non Operating,93576000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Operating Income,284604000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Operating Expense,521895000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Other Operating Expenses,360886000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Selling General And Administration,137366000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Selling And Marketing Expense,327000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,General And Administrative Expense,137039000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Rent And Landing Fees,
GLOBALVECT.NS,income,2024-03-31 00:00:00,Gross Profit,806499000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Cost Of Revenue,4212153000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Total Revenue,5018652000.0
GLOBALVECT.NS,income,2024-03-31 00:00:00,Operating Revenue,5018652000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Tax Effect Of Unusual Items,3028757.556832
GLOBALVECT.NS,income,2023-03-31 00:00:00,Tax Rate For Calcs,0.097041
GLOBALVECT.NS,income,2023-03-31 00:00:00,Normalized EBITDA,731415000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Total Unusual Items,31211000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Total Unusual Items Excluding Goodwill,31211000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Net Income From Continuing Operation Net Minority Interest,-166269000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Reconciled Depreciation,754083000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Reconciled Cost Of Revenue,3708143000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,EBITDA,762626000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,EBIT,8543000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Net Interest Income,-135258000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Interest Expense,192681000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Interest Income,73780000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Normalized Income,-194451242.443168
GLOBALVECT.NS,income,2023-03-31 00:00:00,Net Income From Continuing And Discontinued Operation,-166269000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Total Expenses,4033772000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Rent Expense Supplemental,499206000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Diluted Average Shares,14000000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Basic Average Shares,14000000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Diluted EPS,-11.88
GLOBALVECT.NS,income,2023-03-31 00:00:00,Basic EPS,-11.88
GLOBALVECT.NS,income,2023-03-31 00:00:00,Diluted NI Availto Com Stockholders,-166269000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Net Income Common Stockholders,-166269000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Otherunder Preferred Stock Dividend,0.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Net Income,-166269000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Net Income Including Noncontrolling Interests,-166269000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Net Income Continuous Operations,-166269000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Tax Provision,-17869000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Pretax Income,-184138000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Other Non Operating Income Expenses,1274000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Special Income Charges,26753000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Other Special Charges,-67675000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Write Off,40922000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Net Non Operating Interest Income Expense,-135258000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Total Other Finance Cost,16357000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Interest Expense Non Operating,192681000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Interest Income Non Operating,73780000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Operating Income,74560000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Operating Expense,325629000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Other Operating Expenses,112190000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Selling General And Administration,187011000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Selling And Marketing Expense,346000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,General And Administrative Expense,186665000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Rent And Landing Fees,32735000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Gross Profit,400189000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Cost Of Revenue,3708143000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Total Revenue,4108332000.0
GLOBALVECT.NS,income,2023-03-31 00:00:00,Operating Revenue,4108332000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Tax Effect Of Unusual Items,60368865.620964
GLOBALVECT.NS,income,2022-03-31 00:00:00,Tax Rate For Calcs,0.283878
GLOBALVECT.NS,income,2022-03-31 00:00:00,Normalized EBITDA,670958000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Total Unusual Items,212658000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Total Unusual Items Excluding Goodwill,212658000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Net Income From Continuing Operation Net Minority Interest,-49353000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Reconciled Depreciation,800618000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Reconciled Cost Of Revenue,3203782000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,EBITDA,883616000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,EBIT,82998000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Net Interest Income,-93528000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Interest Expense,151915000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Interest Income,74123000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Normalized Income,-201642134.379036
GLOBALVECT.NS,income,2022-03-31 00:00:00,Net Income From Continuing And Discontinued Operation,-49353000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Total Expenses,3535194000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Rent Expense Supplemental,355416000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Diluted Average Shares,14000000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Basic Average Shares,14000000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Diluted EPS,-3.53
GLOBALVECT.NS,income,2022-03-31 00:00:00,Basic EPS,-3.53
GLOBALVECT.NS,income,2022-03-31 00:00:00,Diluted NI Availto Com Stockholders,-49353000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Net Income Common Stockholders,-49353000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Otherunder Preferred Stock Dividend,0.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Net Income,-49353000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Net Income Including Noncontrolling Interests,-49353000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Net Income Continuous Operations,-49353000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Tax Provision,-19564000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Pretax Income,-68917000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Other Non Operating Income Expenses,5658000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Special Income Charges,201824000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Other Special Charges,-214745000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Write Off,12921000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Net Non Operating Interest Income Expense,-93528000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Total Other Finance Cost,15736000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Interest Expense Non Operating,151915000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Interest Income Non Operating,74123000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Operating Income,-193489000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Operating Expense,331412000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Other Operating Expenses,155259000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Selling General And Administration,160012000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Selling And Marketing Expense,382000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,General And Administrative Expense,159630000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Rent And Landing Fees,28926000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Gross Profit,137923000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Cost Of Revenue,3203782000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Total Revenue,3341705000.0
GLOBALVECT.NS,income,2022-03-31 00:00:00,Operating Revenue,3341705000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Tax Effect Of Unusual Items,4617236.401094
GLOBALVECT.NS,income,2021-03-31 00:00:00,Tax Rate For Calcs,0.356296
GLOBALVECT.NS,income,2021-03-31 00:00:00,Normalized EBITDA,527106000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Total Unusual Items,12959000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Total Unusual Items Excluding Goodwill,12959000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Net Income From Continuing Operation Net Minority Interest,-292767000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Reconciled Depreciation,830356000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Reconciled Cost Of Revenue,3068831000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,EBITDA,540065000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,EBIT,-290291000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Net Interest Income,-112620000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Interest Expense,164525000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Interest Income,65072000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Normalized Income,-301108763.598906
GLOBALVECT.NS,income,2021-03-31 00:00:00,Net Income From Continuing And Discontinued Operation,-292767000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Total Expenses,3348553000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Rent Expense Supplemental,410571000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Diluted Average Shares,14000000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Basic Average Shares,14000000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Diluted EPS,-20.91
GLOBALVECT.NS,income,2021-03-31 00:00:00,Basic EPS,-20.91
GLOBALVECT.NS,income,2021-03-31 00:00:00,Diluted NI Availto Com Stockholders,-292767000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Net Income Common Stockholders,-292767000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Otherunder Preferred Stock Dividend,0.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Net Income,-292767000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Net Income Including Noncontrolling Interests,-292767000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Net Income Continuous Operations,-292767000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Tax Provision,-162049000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Pretax Income,-454816000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Other Non Operating Income Expenses,3646000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Special Income Charges,37079000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Other Special Charges,-37087000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Write Off,8000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Net Non Operating Interest Income Expense,-112620000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Total Other Finance Cost,13167000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Interest Expense Non Operating,164525000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Interest Income Non Operating,65072000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Operating Income,-398498000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Operating Expense,279722000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Other Operating Expenses,82949000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Selling General And Administration,175543000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Selling And Marketing Expense,464000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,General And Administrative Expense,175079000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Rent And Landing Fees,27990000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Gross Profit,-118776000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Cost Of Revenue,3068831000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Total Revenue,2950055000.0
GLOBALVECT.NS,income,2021-03-31 00:00:00,Operating Revenue,2950055000.0
