line_item,period,value,symbol
Tax Effect Of Unusual Items,2024-03-31 00:00:00,86305516.560543,INDIACEM.NS
Tax Rate For Calcs,2024-03-31 00:00:00,0.180786,INDIACEM.NS
Normalized EBITDA,2024-03-31 00:00:00,1135236000.0,INDIACEM.NS
Total Unusual Items,2024-03-31 00:00:00,477391000.0,INDIACEM.NS
Total Unusual Items Excluding Goodwill,2024-03-31 00:00:00,477391000.0,INDIACEM.NS
Net Income From Continuing Operation Net Minority Interest,2024-03-31 00:00:00,-2164010000.0,INDIACEM.NS
Reconciled Depreciation,2024-03-31 00:00:00,2255677000.0,INDIACEM.NS
Reconciled Cost Of Revenue,2024-03-31 00:00:00,30647461000.0,INDIACEM.NS
EBITDA,2024-03-31 00:00:00,1612627000.0,INDIACEM.NS
EBIT,2024-03-31 00:00:00,-643050000.0,INDIACEM.NS
Net Interest Income,2024-03-31 00:00:00,-2237403000.0,INDIACEM.NS
Interest Expense,2024-03-31 00:00:00,1990680000.0,INDIACEM.NS
Interest Income,2024-03-31 00:00:00,163423000.0,INDIACEM.NS
Normalized Income,2024-03-31 00:00:00,-2555095483.439457,INDIACEM.NS
Net Income From Continuing And Discontinued Operation,2024-03-31 00:00:00,-2164010000.0,INDIACEM.NS
Total Expenses,2024-03-31 00:00:00,52339962000.0,INDIACEM.NS
Rent Expense Supplemental,2024-03-31 00:00:00,12149000.0,INDIACEM.NS
Diluted Average Shares,2024-03-31 00:00:00,309896936.0,INDIACEM.NS
Basic Average Shares,2024-03-31 00:00:00,309896936.0,INDIACEM.NS
Diluted EPS,2024-03-31 00:00:00,-7.32,INDIACEM.NS
Basic EPS,2024-03-31 00:00:00,-7.32,INDIACEM.NS
Diluted NI Availto Com Stockholders,2024-03-31 00:00:00,-2273376000.0,INDIACEM.NS
Net Income Common Stockholders,2024-03-31 00:00:00,-2273376000.0,INDIACEM.NS
Otherunder Preferred Stock Dividend,2024-03-31 00:00:00,0.0,INDIACEM.NS
Net Income,2024-03-31 00:00:00,-2273376000.0,INDIACEM.NS
Minority Interests,2024-03-31 00:00:00,-6421000.0,INDIACEM.NS
Net Income Including Noncontrolling Interests,2024-03-31 00:00:00,-2266955000.0,INDIACEM.NS
Net Income Extraordinary,2024-03-31 00:00:00,-109366000.0,INDIACEM.NS
Net Income Discontinuous Operations,2024-03-31 00:00:00,0.0,INDIACEM.NS
