symbol,statement_type,period_end,line_item,value
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Ordinary Shares Number,804994809.0
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Share Issued,804994809.0
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Total Debt,12169800000.0
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Tangible Book Value,119295400000.0
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Invested Capital,131465200000.0
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Net Tangible Assets,119295400000.0
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Common Stock Equity,119295400000.0
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Total Capitalization,131465200000.0
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Total Equity Gross Minority Interest,119295400000.0
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Stockholders Equity,119295400000.0
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Other Equity Interest,
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Retained Earnings,
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Additional Paid In Capital,
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Capital Stock,1610200000.0
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Common Stock,1610200000.0
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Total Liabilities Net Minority Interest,1074378800000.0
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Long Term Debt And Capital Lease Obligation,12169800000.0
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Payables,
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Other Payable,
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Accounts Payable,
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Total Assets,1193674200000.0
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Investments And Advances,238312500000.0
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Investmentin Financial Assets,238312500000.0
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Available For Sale Securities,
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Net PPE,4901700000.0
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Accumulated Depreciation,
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Gross PPE,
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Construction In Progress,
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Other Properties,
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Properties,
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Prepaid Assets,
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Receivables,
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Cash And Cash Equivalents,78067200000.0
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Cash Financial,73541900000.0
KARURVYSYA.NS,balance_sheet,2025-03-31 00:00:00,Cash Cash Equivalents And Federal Funds Sold,78067200000.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Ordinary Shares Number,804376998.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Share Issued,804376998.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Total Debt,24783502000.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Tangible Book Value,100400732000.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Invested Capital,125184234000.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Net Tangible Assets,100400732000.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Common Stock Equity,100400732000.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Total Capitalization,125184234000.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Total Equity Gross Minority Interest,100400732000.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Stockholders Equity,100400732000.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Other Equity Interest,42025000.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Retained Earnings,2033434000.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Additional Paid In Capital,20849038000.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Capital Stock,1608754000.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Common Stock,1608754000.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Total Liabilities Net Minority Interest,955451219000.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Long Term Debt And Capital Lease Obligation,24783502000.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Payables,10567935000.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Other Payable,5435182000.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Accounts Payable,5132753000.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Total Assets,1055851951000.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Investments And Advances,223435248000.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Investmentin Financial Assets,223435248000.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Available For Sale Securities,15745336000.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Net PPE,4328809000.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Accumulated Depreciation,-13791426000.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Gross PPE,18120235000.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Construction In Progress,204574000.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Other Properties,15029492000.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Properties,2886169000.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Prepaid Assets,
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Receivables,31750755000.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Cash And Cash Equivalents,56585622000.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Cash Financial,7785860000.0
KARURVYSYA.NS,balance_sheet,2024-03-31 00:00:00,Cash Cash Equivalents And Federal Funds Sold,56585622000.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Ordinary Shares Number,800720443.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Share Issued,800720443.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Total Debt,14320120000.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Tangible Book Value,85840536000.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Invested Capital,100160656000.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Net Tangible Assets,85840536000.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Common Stock Equity,85840536000.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Total Capitalization,100160656000.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Total Equity Gross Minority Interest,85840536000.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Stockholders Equity,85840536000.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Other Equity Interest,22492000.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Retained Earnings,1632086000.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Additional Paid In Capital,20756363000.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Capital Stock,1604107000.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Common Stock,1604107000.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Total Liabilities Net Minority Interest,815953699000.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Long Term Debt And Capital Lease Obligation,14320120000.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Payables,10579498000.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Other Payable,6399508000.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Accounts Payable,4179990000.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Total Assets,901794235000.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Investments And Advances,188083236000.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Investmentin Financial Assets,188083236000.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Available For Sale Securities,5787288000.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Net PPE,4350410000.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Accumulated Depreciation,-12788850000.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Gross PPE,17139260000.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Construction In Progress,174192000.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Other Properties,14090792000.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Properties,2874276000.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Prepaid Assets,
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Receivables,28222142000.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Cash And Cash Equivalents,46951287000.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Cash Financial,6982534000.0
KARURVYSYA.NS,balance_sheet,2023-03-31 00:00:00,Cash Cash Equivalents And Federal Funds Sold,46951287000.0
KARURVYSYA.NS,balance_sheet,2022-03-31 00:00:00,Ordinary Shares Number,800011672.0
