symbol,statement_type,period_end,line_item,value
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Ordinary Shares Number,10960000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Share Issued,10960000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Net Debt,201298000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Total Debt,264775000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Tangible Book Value,446258000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Invested Capital,711043000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Working Capital,442372000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Net Tangible Assets,446258000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Common Stock Equity,446268000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Total Capitalization,643195000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Total Equity Gross Minority Interest,446268000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Stockholders Equity,446268000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Retained Earnings,
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Capital Stock,109600000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Common Stock,109600000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Total Liabilities Net Minority Interest,601333000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Total Non Current Liabilities Net Minority Interest,205228000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Non Current Pension And Other Postretirement Benefit Plans,
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Tradeand Other Payables Non Current,
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Long Term Debt And Capital Lease Obligation,196927000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Long Term Debt,196927000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Long Term Provisions,8301000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Current Liabilities,396105000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Other Current Liabilities,71102000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Current Debt And Capital Lease Obligation,67848000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Current Debt,67848000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Current Provisions,7281000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Payables,249874000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Other Payable,
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Accounts Payable,249874000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Total Assets,1047601000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Total Non Current Assets,209124000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Other Non Current Assets,20136000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Non Current Prepaid Assets,
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Non Current Deferred Taxes Assets,2192000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Goodwill And Other Intangible Assets,10000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Other Intangible Assets,
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Net PPE,186786000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Accumulated Depreciation,
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Gross PPE,186786000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Construction In Progress,24844000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Other Properties,161942000.0
KCEIL.NS,balance_sheet,2024-03-31 00:00:00,Machinery Furniture Equipment,
