symbol,statement_type,period_end,line_item,value
KRN.NS,cashflow,2025-03-31 00:00:00,Free Cash Flow,-1295620000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Repayment Of Debt,-65442000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Issuance Of Debt,0.0
KRN.NS,cashflow,2025-03-31 00:00:00,Issuance Of Capital Stock,3142169000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Capital Expenditure,-1510060000.0
KRN.NS,cashflow,2025-03-31 00:00:00,End Cash Position,102634000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Beginning Cash Position,103081000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Changes In Cash,-447000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Financing Cash Flow,2577711000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Net Other Financing Charges,-4000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Interest Paid Cff,-34121000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Net Common Stock Issuance,3142169000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Common Stock Issuance,3142169000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Net Issuance Payments Of Debt,-257656000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Net Short Term Debt Issuance,-192214000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Net Long Term Debt Issuance,-65442000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Long Term Debt Payments,-65442000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Long Term Debt Issuance,0.0
KRN.NS,cashflow,2025-03-31 00:00:00,Investing Cash Flow,-2792598000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Net Other Investing Changes,-1352126000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Interest Received Cfi,71222000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Net Investment Purchase And Sale,-3009000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Net PPE Purchase And Sale,-1508685000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Sale Of PPE,1375000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Purchase Of PPE,-1510060000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Operating Cash Flow,214440000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Taxes Refund Paid,-216021000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Change In Working Capital,-337592000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Change In Other Current Liabilities,22591000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Change In Other Current Assets,-35435000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Change In Payable,187179000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Change In Inventory,-114497000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Change In Receivables,-405225000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Other Non Cash Items,-24543000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Depreciation And Amortization,46325000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Depreciation,46325000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Pension And Employee Benefit Expense,3152000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Gain Loss On Sale Of PPE,0.0
KRN.NS,cashflow,2025-03-31 00:00:00,Gain Loss On Sale Of Business,-95000.0
KRN.NS,cashflow,2025-03-31 00:00:00,Net Income From Continuing Operations,743216000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Free Cash Flow,-528614000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Repayment Of Debt,-59119000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Issuance Of Debt,
KRN.NS,cashflow,2024-03-31 00:00:00,Issuance Of Capital Stock,305607000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Capital Expenditure,-697861000.0
KRN.NS,cashflow,2024-03-31 00:00:00,End Cash Position,103081000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Beginning Cash Position,74570000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Changes In Cash,28511000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Financing Cash Flow,500951000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Net Other Financing Charges,
KRN.NS,cashflow,2024-03-31 00:00:00,Interest Paid Cff,-39858000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Net Common Stock Issuance,305607000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Common Stock Issuance,305607000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Net Issuance Payments Of Debt,235202000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Net Short Term Debt Issuance,294321000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Net Long Term Debt Issuance,-59119000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Long Term Debt Payments,-59119000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Long Term Debt Issuance,
KRN.NS,cashflow,2024-03-31 00:00:00,Investing Cash Flow,-641687000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Net Other Investing Changes,24731000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Interest Received Cfi,6141000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Net Investment Purchase And Sale,-7650000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Net PPE Purchase And Sale,-664909000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Sale Of PPE,32952000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Purchase Of PPE,-697861000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Operating Cash Flow,169247000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Taxes Refund Paid,-148570000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Change In Working Capital,-344352000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Change In Other Current Liabilities,268505000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Change In Other Current Assets,-54702000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Change In Payable,-128057000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Change In Inventory,-293209000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Change In Receivables,-137855000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Other Non Cash Items,58028000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Depreciation And Amortization,39905000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Depreciation,39905000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Pension And Employee Benefit Expense,3212000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Gain Loss On Sale Of PPE,1685000.0
KRN.NS,cashflow,2024-03-31 00:00:00,Gain Loss On Sale Of Business,
KRN.NS,cashflow,2024-03-31 00:00:00,Net Income From Continuing Operations,559339000.0
KRN.NS,cashflow,2023-03-31 00:00:00,Free Cash Flow,-89263000.0
KRN.NS,cashflow,2023-03-31 00:00:00,Repayment Of Debt,
KRN.NS,cashflow,2023-03-31 00:00:00,Issuance Of Debt,
KRN.NS,cashflow,2023-03-31 00:00:00,Issuance Of Capital Stock,0.0
KRN.NS,cashflow,2023-03-31 00:00:00,Capital Expenditure,-139988000.0
KRN.NS,cashflow,2023-03-31 00:00:00,End Cash Position,74570000.0
KRN.NS,cashflow,2023-03-31 00:00:00,Beginning Cash Position,53605000.0
KRN.NS,cashflow,2023-03-31 00:00:00,Changes In Cash,20965000.0
KRN.NS,cashflow,2023-03-31 00:00:00,Financing Cash Flow,110109000.0
KRN.NS,cashflow,2023-03-31 00:00:00,Net Other Financing Charges,
KRN.NS,cashflow,2023-03-31 00:00:00,Interest Paid Cff,-30537000.0
KRN.NS,cashflow,2023-03-31 00:00:00,Net Common Stock Issuance,0.0
KRN.NS,cashflow,2023-03-31 00:00:00,Common Stock Issuance,0.0
KRN.NS,cashflow,2023-03-31 00:00:00,Net Issuance Payments Of Debt,140646000.0
KRN.NS,cashflow,2023-03-31 00:00:00,Net Short Term Debt Issuance,85319000.0
KRN.NS,cashflow,2023-03-31 00:00:00,Net Long Term Debt Issuance,55327000.0
KRN.NS,cashflow,2023-03-31 00:00:00,Long Term Debt Payments,
KRN.NS,cashflow,2023-03-31 00:00:00,Long Term Debt Issuance,
KRN.NS,cashflow,2023-03-31 00:00:00,Investing Cash Flow,-139869000.0
KRN.NS,cashflow,2023-03-31 00:00:00,Net Other Investing Changes,-3422000.0
KRN.NS,cashflow,2023-03-31 00:00:00,Interest Received Cfi,3541000.0
KRN.NS,cashflow,2023-03-31 00:00:00,Net Investment Purchase And Sale,-3422000.0
KRN.NS,cashflow,2023-03-31 00:00:00,Net PPE Purchase And Sale,-139988000.0
KRN.NS,cashflow,2023-03-31 00:00:00,Sale Of PPE,
KRN.NS,cashflow,2023-03-31 00:00:00,Purchase Of PPE,-139988000.0
KRN.NS,cashflow,2023-03-31 00:00:00,Operating Cash Flow,50725000.0
KRN.NS,cashflow,2023-03-31 00:00:00,Taxes Refund Paid,-132550000.0
KRN.NS,cashflow,2023-03-31 00:00:00,Change In Working Capital,-330424000.0
KRN.NS,cashflow,2023-03-31 00:00:00,Change In Other Current Liabilities,-14832000.0
KRN.NS,cashflow,2023-03-31 00:00:00,Change In Other Current Assets,49996000.0
KRN.NS,cashflow,2023-03-31 00:00:00,Change In Payable,85708000.0
KRN.NS,cashflow,2023-03-31 00:00:00,Change In Inventory,-337758000.0
KRN.NS,cashflow,2023-03-31 00:00:00,Change In Receivables,-117438000.0
KRN.NS,cashflow,2023-03-31 00:00:00,Other Non Cash Items,27018000.0
KRN.NS,cashflow,2023-03-31 00:00:00,Depreciation And Amortization,31714000.0
KRN.NS,cashflow,2023-03-31 00:00:00,Depreciation,31714000.0
KRN.NS,cashflow,2023-03-31 00:00:00,Pension And Employee Benefit Expense,
KRN.NS,cashflow,2023-03-31 00:00:00,Gain Loss On Sale Of PPE,
KRN.NS,cashflow,2023-03-31 00:00:00,Gain Loss On Sale Of Business,
KRN.NS,cashflow,2023-03-31 00:00:00,Net Income From Continuing Operations,454967000.0
KRN.NS,cashflow,2022-03-31 00:00:00,Free Cash Flow,19124000.0
KRN.NS,cashflow,2022-03-31 00:00:00,Repayment Of Debt,
KRN.NS,cashflow,2022-03-31 00:00:00,Issuance Of Debt,
KRN.NS,cashflow,2022-03-31 00:00:00,Issuance Of Capital Stock,0.0
KRN.NS,cashflow,2022-03-31 00:00:00,Capital Expenditure,-25711000.0
KRN.NS,cashflow,2022-03-31 00:00:00,End Cash Position,53605000.0
KRN.NS,cashflow,2022-03-31 00:00:00,Beginning Cash Position,2102000.0
KRN.NS,cashflow,2022-03-31 00:00:00,Changes In Cash,51503000.0
KRN.NS,cashflow,2022-03-31 00:00:00,Financing Cash Flow,33837000.0
KRN.NS,cashflow,2022-03-31 00:00:00,Net Other Financing Charges,
KRN.NS,cashflow,2022-03-31 00:00:00,Interest Paid Cff,-15438000.0
KRN.NS,cashflow,2022-03-31 00:00:00,Net Common Stock Issuance,0.0
KRN.NS,cashflow,2022-03-31 00:00:00,Common Stock Issuance,0.0
KRN.NS,cashflow,2022-03-31 00:00:00,Net Issuance Payments Of Debt,49275000.0
KRN.NS,cashflow,2022-03-31 00:00:00,Net Short Term Debt Issuance,47135000.0
KRN.NS,cashflow,2022-03-31 00:00:00,Net Long Term Debt Issuance,2140000.0
KRN.NS,cashflow,2022-03-31 00:00:00,Long Term Debt Payments,
KRN.NS,cashflow,2022-03-31 00:00:00,Long Term Debt Issuance,
KRN.NS,cashflow,2022-03-31 00:00:00,Investing Cash Flow,-27169000.0
KRN.NS,cashflow,2022-03-31 00:00:00,Net Other Investing Changes,-1100000.0
KRN.NS,cashflow,2022-03-31 00:00:00,Interest Received Cfi,3008000.0
KRN.NS,cashflow,2022-03-31 00:00:00,Net Investment Purchase And Sale,-3366000.0
KRN.NS,cashflow,2022-03-31 00:00:00,Net PPE Purchase And Sale,-25711000.0
