symbol,statement_type,period_end,line_item,value
LMW.NS,balance_sheet,2025-03-31 00:00:00,Ordinary Shares Number,10683000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Share Issued,10683000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Tangible Book Value,27586500000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Invested Capital,27774200000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Working Capital,16343300000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Net Tangible Assets,27586500000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Common Stock Equity,27774200000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Total Capitalization,27774200000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Total Equity Gross Minority Interest,27774200000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Stockholders Equity,27774200000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Other Equity Interest,27667400000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Retained Earnings,
LMW.NS,balance_sheet,2025-03-31 00:00:00,Additional Paid In Capital,
LMW.NS,balance_sheet,2025-03-31 00:00:00,Capital Stock,106800000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Common Stock,106800000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Total Liabilities Net Minority Interest,12304700000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Total Non Current Liabilities Net Minority Interest,2244600000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Other Non Current Liabilities,1719500000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Non Current Deferred Revenue,
LMW.NS,balance_sheet,2025-03-31 00:00:00,Non Current Deferred Taxes Liabilities,525100000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Current Liabilities,10060100000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Other Current Liabilities,3318400000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Current Provisions,112100000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Payables,5215400000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Dividends Payable,
LMW.NS,balance_sheet,2025-03-31 00:00:00,Accounts Payable,5215400000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Total Assets,40078900000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Total Non Current Assets,13675500000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Non Current Prepaid Assets,
LMW.NS,balance_sheet,2025-03-31 00:00:00,Investmentin Financial Assets,3732500000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Held To Maturity Securities,
LMW.NS,balance_sheet,2025-03-31 00:00:00,Available For Sale Securities,3732500000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Goodwill And Other Intangible Assets,187700000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Other Intangible Assets,187700000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Net PPE,9755300000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Accumulated Depreciation,
LMW.NS,balance_sheet,2025-03-31 00:00:00,Gross PPE,9755300000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Construction In Progress,41600000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Other Properties,9713700000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Machinery Furniture Equipment,
LMW.NS,balance_sheet,2025-03-31 00:00:00,Buildings And Improvements,
LMW.NS,balance_sheet,2025-03-31 00:00:00,Land And Improvements,
LMW.NS,balance_sheet,2025-03-31 00:00:00,Properties,
LMW.NS,balance_sheet,2025-03-31 00:00:00,Current Assets,26403400000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Other Current Assets,1084300000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Restricted Cash,
LMW.NS,balance_sheet,2025-03-31 00:00:00,Prepaid Assets,
LMW.NS,balance_sheet,2025-03-31 00:00:00,Inventory,5713000000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Finished Goods,
LMW.NS,balance_sheet,2025-03-31 00:00:00,Work In Process,
LMW.NS,balance_sheet,2025-03-31 00:00:00,Raw Materials,
LMW.NS,balance_sheet,2025-03-31 00:00:00,Other Receivables,
LMW.NS,balance_sheet,2025-03-31 00:00:00,Taxes Receivable,82600000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Accounts Receivable,1768700000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Allowance For Doubtful Accounts Receivable,
LMW.NS,balance_sheet,2025-03-31 00:00:00,Gross Accounts Receivable,
LMW.NS,balance_sheet,2025-03-31 00:00:00,Cash Cash Equivalents And Short Term Investments,17754800000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Other Short Term Investments,16355600000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Cash And Cash Equivalents,1399200000.0
LMW.NS,balance_sheet,2025-03-31 00:00:00,Cash Equivalents,
LMW.NS,balance_sheet,2025-03-31 00:00:00,Cash Financial,
LMW.NS,balance_sheet,2024-03-31 00:00:00,Ordinary Shares Number,10683000.0
LMW.NS,balance_sheet,2024-03-31 00:00:00,Share Issued,10683000.0
LMW.NS,balance_sheet,2024-03-31 00:00:00,Tangible Book Value,26895500000.0
LMW.NS,balance_sheet,2024-03-31 00:00:00,Invested Capital,27036400000.0
