line_item,period,value,symbol
Tax Effect Of Unusual Items,2024-03-31 00:00:00,0.0,PRECISION.NS
Tax Rate For Calcs,2024-03-31 00:00:00,0.065464,PRECISION.NS
Normalized EBITDA,2024-03-31 00:00:00,83931000.0,PRECISION.NS
Total Unusual Items,2024-03-31 00:00:00,,PRECISION.NS
Total Unusual Items Excluding Goodwill,2024-03-31 00:00:00,,PRECISION.NS
Net Income From Continuing Operation Net Minority Interest,2024-03-31 00:00:00,67838000.0,PRECISION.NS
Reconciled Depreciation,2024-03-31 00:00:00,1552000.0,PRECISION.NS
Reconciled Cost Of Revenue,2024-03-31 00:00:00,1837555000.0,PRECISION.NS
EBITDA,2024-03-31 00:00:00,83931000.0,PRECISION.NS
EBIT,2024-03-31 00:00:00,82379000.0,PRECISION.NS
Net Interest Income,2024-03-31 00:00:00,-9789000.0,PRECISION.NS
Interest Expense,2024-03-31 00:00:00,9789000.0,PRECISION.NS
Interest Income,2024-03-31 00:00:00,,PRECISION.NS
Normalized Income,2024-03-31 00:00:00,67838000.0,PRECISION.NS
Net Income From Continuing And Discontinued Operation,2024-03-31 00:00:00,67838000.0,PRECISION.NS
Total Expenses,2024-03-31 00:00:00,1881946000.0,PRECISION.NS
Rent Expense Supplemental,2024-03-31 00:00:00,,PRECISION.NS
Diluted Average Shares,2024-03-31 00:00:00,,PRECISION.NS
Basic Average Shares,2024-03-31 00:00:00,,PRECISION.NS
Diluted EPS,2024-03-31 00:00:00,,PRECISION.NS
Basic EPS,2024-03-31 00:00:00,,PRECISION.NS
Diluted NI Availto Com Stockholders,2024-03-31 00:00:00,67838000.0,PRECISION.NS
Net Income Common Stockholders,2024-03-31 00:00:00,67838000.0,PRECISION.NS
Otherunder Preferred Stock Dividend,2024-03-31 00:00:00,0.0,PRECISION.NS
Net Income,2024-03-31 00:00:00,67838000.0,PRECISION.NS
Net Income Including Noncontrolling Interests,2024-03-31 00:00:00,67838000.0,PRECISION.NS
Net Income Extraordinary,2024-03-31 00:00:00,,PRECISION.NS
