line_item,period,value,symbol
Tax Effect Of Unusual Items,2024-03-31 00:00:00,0.0,SAGARDEEP.NS
Tax Rate For Calcs,2024-03-31 00:00:00,0.196322,SAGARDEEP.NS
Normalized EBITDA,2024-03-31 00:00:00,25878000.0,SAGARDEEP.NS
Total Unusual Items,2024-03-31 00:00:00,0.0,SAGARDEEP.NS
Total Unusual Items Excluding Goodwill,2024-03-31 00:00:00,0.0,SAGARDEEP.NS
Net Income From Continuing Operation Net Minority Interest,2024-03-31 00:00:00,7646000.0,SAGARDEEP.NS
Reconciled Depreciation,2024-03-31 00:00:00,6195000.0,SAGARDEEP.NS
Reconciled Cost Of Revenue,2024-03-31 00:00:00,962142000.0,SAGARDEEP.NS
EBITDA,2024-03-31 00:00:00,25878000.0,SAGARDEEP.NS
EBIT,2024-03-31 00:00:00,19683000.0,SAGARDEEP.NS
Net Interest Income,2024-03-31 00:00:00,-7139000.0,SAGARDEEP.NS
Interest Expense,2024-03-31 00:00:00,10168000.0,SAGARDEEP.NS
Interest Income,2024-03-31 00:00:00,3597000.0,SAGARDEEP.NS
Normalized Income,2024-03-31 00:00:00,7646000.0,SAGARDEEP.NS
Net Income From Continuing And Discontinued Operation,2024-03-31 00:00:00,7646000.0,SAGARDEEP.NS
Total Expenses,2024-03-31 00:00:00,982432000.0,SAGARDEEP.NS
Rent Expense Supplemental,2024-03-31 00:00:00,,SAGARDEEP.NS
Diluted Average Shares,2024-03-31 00:00:00,,SAGARDEEP.NS
Basic Average Shares,2024-03-31 00:00:00,,SAGARDEEP.NS
Diluted EPS,2024-03-31 00:00:00,,SAGARDEEP.NS
Basic EPS,2024-03-31 00:00:00,,SAGARDEEP.NS
Diluted NI Availto Com Stockholders,2024-03-31 00:00:00,7646000.0,SAGARDEEP.NS
Net Income Common Stockholders,2024-03-31 00:00:00,7646000.0,SAGARDEEP.NS
Otherunder Preferred Stock Dividend,2024-03-31 00:00:00,0.0,SAGARDEEP.NS
Net Income,2024-03-31 00:00:00,7646000.0,SAGARDEEP.NS
Net Income Including Noncontrolling Interests,2024-03-31 00:00:00,7647000.0,SAGARDEEP.NS
Net Income Discontinuous Operations,2024-03-31 00:00:00,0.0,SAGARDEEP.NS
Net Income Continuous Operations,2024-03-31 00:00:00,7647000.0,SAGARDEEP.NS
Tax Provision,2024-03-31 00:00:00,1868000.0,SAGARDEEP.NS
Pretax Income,2024-03-31 00:00:00,9515000.0,SAGARDEEP.NS
Other Non Operating Income Expenses,2024-03-31 00:00:00,3582000.0,SAGARDEEP.NS
Special Income Charges,2024-03-31 00:00:00,0.0,SAGARDEEP.NS
Other Special Charges,2024-03-31 00:00:00,,SAGARDEEP.NS
Net Non Operating Interest Income Expense,2024-03-31 00:00:00,-7139000.0,SAGARDEEP.NS
Total Other Finance Cost,2024-03-31 00:00:00,568000.0,SAGARDEEP.NS
Interest Expense Non Operating,2024-03-31 00:00:00,10168000.0,SAGARDEEP.NS
Interest Income Non Operating,2024-03-31 00:00:00,3597000.0,SAGARDEEP.NS
Operating Income,2024-03-31 00:00:00,13009000.0,SAGARDEEP.NS
Operating Expense,2024-03-31 00:00:00,20290000.0,SAGARDEEP.NS
Other Operating Expenses,2024-03-31 00:00:00,1187000.0,SAGARDEEP.NS
