line_item,period,value,symbol
Tax Effect Of Unusual Items,2024-03-31 00:00:00,782475.744825,SAKAR.NS
Tax Rate For Calcs,2024-03-31 00:00:00,0.265967,SAKAR.NS
Normalized EBITDA,2024-03-31 00:00:00,404011000.0,SAKAR.NS
Total Unusual Items,2024-03-31 00:00:00,2942000.0,SAKAR.NS
Total Unusual Items Excluding Goodwill,2024-03-31 00:00:00,2942000.0,SAKAR.NS
Net Income From Continuing Operation Net Minority Interest,2024-03-31 00:00:00,116709000.0,SAKAR.NS
Reconciled Depreciation,2024-03-31 00:00:00,180504000.0,SAKAR.NS
Reconciled Cost Of Revenue,2024-03-31 00:00:00,836775000.0,SAKAR.NS
EBITDA,2024-03-31 00:00:00,406953000.0,SAKAR.NS
EBIT,2024-03-31 00:00:00,226448000.0,SAKAR.NS
Net Interest Income,2024-03-31 00:00:00,-74907000.0,SAKAR.NS
Interest Expense,2024-03-31 00:00:00,67451000.0,SAKAR.NS
Interest Income,2024-03-31 00:00:00,1252000.0,SAKAR.NS
Normalized Income,2024-03-31 00:00:00,114549475.744825,SAKAR.NS
Net Income From Continuing And Discontinued Operation,2024-03-31 00:00:00,116709000.0,SAKAR.NS
Total Expenses,2024-03-31 00:00:00,1321976000.0,SAKAR.NS
Diluted Average Shares,2024-03-31 00:00:00,20525000.0,SAKAR.NS
Basic Average Shares,2024-03-31 00:00:00,20525000.0,SAKAR.NS
Diluted EPS,2024-03-31 00:00:00,5.686188,SAKAR.NS
Basic EPS,2024-03-31 00:00:00,5.686188,SAKAR.NS
Diluted NI Availto Com Stockholders,2024-03-31 00:00:00,116709000.0,SAKAR.NS
Net Income Common Stockholders,2024-03-31 00:00:00,116709000.0,SAKAR.NS
Otherunder Preferred Stock Dividend,2024-03-31 00:00:00,0.0,SAKAR.NS
Net Income,2024-03-31 00:00:00,116709000.0,SAKAR.NS
Minority Interests,2024-03-31 00:00:00,,SAKAR.NS
Net Income Including Noncontrolling Interests,2024-03-31 00:00:00,116709000.0,SAKAR.NS
Net Income Discontinuous Operations,2024-03-31 00:00:00,0.0,SAKAR.NS
Net Income Continuous Operations,2024-03-31 00:00:00,116709000.0,SAKAR.NS
Tax Provision,2024-03-31 00:00:00,42288000.0,SAKAR.NS
Pretax Income,2024-03-31 00:00:00,158997000.0,SAKAR.NS
Other Non Operating Income Expenses,2024-03-31 00:00:00,2191000.0,SAKAR.NS
Special Income Charges,2024-03-31 00:00:00,0.0,SAKAR.NS
Other Special Charges,2024-03-31 00:00:00,,SAKAR.NS
Write Off,2024-03-31 00:00:00,0.0,SAKAR.NS
Net Non Operating Interest Income Expense,2024-03-31 00:00:00,-74907000.0,SAKAR.NS
Total Other Finance Cost,2024-03-31 00:00:00,8708000.0,SAKAR.NS
Interest Expense Non Operating,2024-03-31 00:00:00,67451000.0,SAKAR.NS
Interest Income Non Operating,2024-03-31 00:00:00,1252000.0,SAKAR.NS
Operating Income,2024-03-31 00:00:00,211541000.0,SAKAR.NS
Operating Expense,2024-03-31 00:00:00,485201000.0,SAKAR.NS
Other Operating Expenses,2024-03-31 00:00:00,87207000.0,SAKAR.NS
Depreciation And Amortization In Income Statement,2024-03-31 00:00:00,180505000.0,SAKAR.NS
Amortization,2024-03-31 00:00:00,969000.0,SAKAR.NS
Depreciation Income Statement,2024-03-31 00:00:00,179536000.0,SAKAR.NS
Research And Development,2024-03-31 00:00:00,6176000.0,SAKAR.NS
Selling General And Administration,2024-03-31 00:00:00,21631000.0,SAKAR.NS
Selling And Marketing Expense,2024-03-31 00:00:00,65000.0,SAKAR.NS
General And Administrative Expense,2024-03-31 00:00:00,21566000.0,SAKAR.NS
Gross Profit,2024-03-31 00:00:00,696742000.0,SAKAR.NS
Cost Of Revenue,2024-03-31 00:00:00,836775000.0,SAKAR.NS
Total Revenue,2024-03-31 00:00:00,1533517000.0,SAKAR.NS
Operating Revenue,2024-03-31 00:00:00,1533517000.0,SAKAR.NS
Tax Effect Of Unusual Items,2023-03-31 00:00:00,-293268.883214,SAKAR.NS
Tax Rate For Calcs,2023-03-31 00:00:00,0.243984,SAKAR.NS
Normalized EBITDA,2023-03-31 00:00:00,374698000.0,SAKAR.NS
Total Unusual Items,2023-03-31 00:00:00,-1202000.0,SAKAR.NS
Total Unusual Items Excluding Goodwill,2023-03-31 00:00:00,-1202000.0,SAKAR.NS
Net Income From Continuing Operation Net Minority Interest,2023-03-31 00:00:00,127586000.0,SAKAR.NS
Reconciled Depreciation,2023-03-31 00:00:00,149860000.0,SAKAR.NS
Reconciled Cost Of Revenue,2023-03-31 00:00:00,737939000.0,SAKAR.NS
EBITDA,2023-03-31 00:00:00,373496000.0,SAKAR.NS
EBIT,2023-03-31 00:00:00,223636000.0,SAKAR.NS
Net Interest Income,2023-03-31 00:00:00,-56967000.0,SAKAR.NS
Interest Expense,2023-03-31 00:00:00,54875000.0,SAKAR.NS
Interest Income,2023-03-31 00:00:00,2658000.0,SAKAR.NS
Normalized Income,2023-03-31 00:00:00,128494731.116786,SAKAR.NS
Net Income From Continuing And Discontinued Operation,2023-03-31 00:00:00,127586000.0,SAKAR.NS
Total Expenses,2023-03-31 00:00:00,1142422000.0,SAKAR.NS
Diluted Average Shares,2023-03-31 00:00:00,18593000.0,SAKAR.NS
Basic Average Shares,2023-03-31 00:00:00,18593000.0,SAKAR.NS
Diluted EPS,2023-03-31 00:00:00,6.862045,SAKAR.NS
Basic EPS,2023-03-31 00:00:00,6.862045,SAKAR.NS
Diluted NI Availto Com Stockholders,2023-03-31 00:00:00,127586000.0,SAKAR.NS
Net Income Common Stockholders,2023-03-31 00:00:00,127586000.0,SAKAR.NS
Otherunder Preferred Stock Dividend,2023-03-31 00:00:00,0.0,SAKAR.NS
Net Income,2023-03-31 00:00:00,127586000.0,SAKAR.NS
Minority Interests,2023-03-31 00:00:00,0.0,SAKAR.NS
Net Income Including Noncontrolling Interests,2023-03-31 00:00:00,127586000.0,SAKAR.NS
Net Income Discontinuous Operations,2023-03-31 00:00:00,0.0,SAKAR.NS
Net Income Continuous Operations,2023-03-31 00:00:00,127586000.0,SAKAR.NS
Tax Provision,2023-03-31 00:00:00,41175000.0,SAKAR.NS
Pretax Income,2023-03-31 00:00:00,168761000.0,SAKAR.NS
Other Non Operating Income Expenses,2023-03-31 00:00:00,46748000.0,SAKAR.NS
Special Income Charges,2023-03-31 00:00:00,-1202000.0,SAKAR.NS
Other Special Charges,2023-03-31 00:00:00,51000.0,SAKAR.NS
Write Off,2023-03-31 00:00:00,1151000.0,SAKAR.NS
