line_item,period,value,symbol
Tax Effect Of Unusual Items,2024-03-31 00:00:00,0.0,SARTELE.NS
Tax Rate For Calcs,2024-03-31 00:00:00,0.025171,SARTELE.NS
Normalized EBITDA,2024-03-31 00:00:00,176395000.0,SARTELE.NS
Total Unusual Items,2024-03-31 00:00:00,0.0,SARTELE.NS
Total Unusual Items Excluding Goodwill,2024-03-31 00:00:00,0.0,SARTELE.NS
Net Income From Continuing Operation Net Minority Interest,2024-03-31 00:00:00,156617000.0,SARTELE.NS
Reconciled Depreciation,2024-03-31 00:00:00,13708000.0,SARTELE.NS
Reconciled Cost Of Revenue,2024-03-31 00:00:00,1016888000.0,SARTELE.NS
EBITDA,2024-03-31 00:00:00,176395000.0,SARTELE.NS
EBIT,2024-03-31 00:00:00,162687000.0,SARTELE.NS
Net Interest Income,2024-03-31 00:00:00,-1957000.0,SARTELE.NS
Interest Expense,2024-03-31 00:00:00,2027000.0,SARTELE.NS
Interest Income,2024-03-31 00:00:00,282000.0,SARTELE.NS
Normalized Income,2024-03-31 00:00:00,156617000.0,SARTELE.NS
Net Income From Continuing And Discontinued Operation,2024-03-31 00:00:00,156617000.0,SARTELE.NS
Total Expenses,2024-03-31 00:00:00,1078776000.0,SARTELE.NS
Rent Expense Supplemental,2024-03-31 00:00:00,16731000.0,SARTELE.NS
Diluted Average Shares,2024-03-31 00:00:00,11218143.0,SARTELE.NS
Basic Average Shares,2024-03-31 00:00:00,11218143.0,SARTELE.NS
Diluted EPS,2024-03-31 00:00:00,13.95936,SARTELE.NS
Basic EPS,2024-03-31 00:00:00,13.95936,SARTELE.NS
Diluted NI Availto Com Stockholders,2024-03-31 00:00:00,156617000.0,SARTELE.NS
Net Income Common Stockholders,2024-03-31 00:00:00,156617000.0,SARTELE.NS
Otherunder Preferred Stock Dividend,2024-03-31 00:00:00,0.0,SARTELE.NS
Net Income,2024-03-31 00:00:00,156617000.0,SARTELE.NS
Minority Interests,2024-03-31 00:00:00,0.0,SARTELE.NS
Net Income Including Noncontrolling Interests,2024-03-31 00:00:00,156617000.0,SARTELE.NS
Net Income Continuous Operations,2024-03-31 00:00:00,156617000.0,SARTELE.NS
Tax Provision,2024-03-31 00:00:00,4044000.0,SARTELE.NS
Pretax Income,2024-03-31 00:00:00,160660000.0,SARTELE.NS
Other Non Operating Income Expenses,2024-03-31 00:00:00,245000.0,SARTELE.NS
Special Income Charges,2024-03-31 00:00:00,0.0,SARTELE.NS
Write Off,2024-03-31 00:00:00,,SARTELE.NS
Net Non Operating Interest Income Expense,2024-03-31 00:00:00,-1957000.0,SARTELE.NS
Total Other Finance Cost,2024-03-31 00:00:00,212000.0,SARTELE.NS
Interest Expense Non Operating,2024-03-31 00:00:00,2027000.0,SARTELE.NS
Interest Income Non Operating,2024-03-31 00:00:00,282000.0,SARTELE.NS
Operating Income,2024-03-31 00:00:00,162395000.0,SARTELE.NS
Operating Expense,2024-03-31 00:00:00,61888000.0,SARTELE.NS
Other Operating Expenses,2024-03-31 00:00:00,26250000.0,SARTELE.NS
Depreciation And Amortization In Income Statement,2024-03-31 00:00:00,13708000.0,SARTELE.NS
Depreciation Income Statement,2024-03-31 00:00:00,13708000.0,SARTELE.NS
Selling General And Administration,2024-03-31 00:00:00,4711000.0,SARTELE.NS
Selling And Marketing Expense,2024-03-31 00:00:00,751000.0,SARTELE.NS
General And Administrative Expense,2024-03-31 00:00:00,3960000.0,SARTELE.NS
Rent And Landing Fees,2024-03-31 00:00:00,801000.0,SARTELE.NS
Gross Profit,2024-03-31 00:00:00,224283000.0,SARTELE.NS
Cost Of Revenue,2024-03-31 00:00:00,1016888000.0,SARTELE.NS
Total Revenue,2024-03-31 00:00:00,1241171000.0,SARTELE.NS
Operating Revenue,2024-03-31 00:00:00,1241171000.0,SARTELE.NS
Tax Effect Of Unusual Items,2023-03-31 00:00:00,0.0,SARTELE.NS
Tax Rate For Calcs,2023-03-31 00:00:00,0.091173,SARTELE.NS
Normalized EBITDA,2023-03-31 00:00:00,57382000.0,SARTELE.NS
Total Unusual Items,2023-03-31 00:00:00,0.0,SARTELE.NS
Total Unusual Items Excluding Goodwill,2023-03-31 00:00:00,0.0,SARTELE.NS
Net Income From Continuing Operation Net Minority Interest,2023-03-31 00:00:00,38836000.0,SARTELE.NS
Reconciled Depreciation,2023-03-31 00:00:00,10315000.0,SARTELE.NS
Reconciled Cost Of Revenue,2023-03-31 00:00:00,238059000.0,SARTELE.NS
EBITDA,2023-03-31 00:00:00,57382000.0,SARTELE.NS
EBIT,2023-03-31 00:00:00,47067000.0,SARTELE.NS
Net Interest Income,2023-03-31 00:00:00,-4539000.0,SARTELE.NS
Interest Expense,2023-03-31 00:00:00,4335000.0,SARTELE.NS
Interest Income,2023-03-31 00:00:00,0.0,SARTELE.NS
Normalized Income,2023-03-31 00:00:00,38836000.0,SARTELE.NS
Net Income From Continuing And Discontinued Operation,2023-03-31 00:00:00,38836000.0,SARTELE.NS
Total Expenses,2023-03-31 00:00:00,277892000.0,SARTELE.NS
Rent Expense Supplemental,2023-03-31 00:00:00,17182000.0,SARTELE.NS
Diluted Average Shares,2023-03-31 00:00:00,17321711.0,SARTELE.NS
Basic Average Shares,2023-03-31 00:00:00,17321711.0,SARTELE.NS
Diluted EPS,2023-03-31 00:00:00,2.242042,SARTELE.NS
