symbol,statement_type,period_end,line_item,value
SHEETAL.NS,income,2024-03-31 00:00:00,Tax Effect Of Unusual Items,-1864011.662384
SHEETAL.NS,income,2024-03-31 00:00:00,Tax Rate For Calcs,0.316202
SHEETAL.NS,income,2024-03-31 00:00:00,Normalized EBITDA,57466000.0
SHEETAL.NS,income,2024-03-31 00:00:00,Total Unusual Items,-5895000.0
SHEETAL.NS,income,2024-03-31 00:00:00,Total Unusual Items Excluding Goodwill,-5895000.0
SHEETAL.NS,income,2024-03-31 00:00:00,Net Income From Continuing Operation Net Minority Interest,20756000.0
SHEETAL.NS,income,2024-03-31 00:00:00,Reconciled Depreciation,8232000.0
SHEETAL.NS,income,2024-03-31 00:00:00,Reconciled Cost Of Revenue,1249070000.0
SHEETAL.NS,income,2024-03-31 00:00:00,EBITDA,51571000.0
SHEETAL.NS,income,2024-03-31 00:00:00,EBIT,43339000.0
SHEETAL.NS,income,2024-03-31 00:00:00,Net Interest Income,-11605000.0
SHEETAL.NS,income,2024-03-31 00:00:00,Interest Expense,12985000.0
SHEETAL.NS,income,2024-03-31 00:00:00,Interest Income,2762000.0
SHEETAL.NS,income,2024-03-31 00:00:00,Normalized Income,24786988.337616
SHEETAL.NS,income,2024-03-31 00:00:00,Net Income From Continuing And Discontinued Operation,20756000.0
SHEETAL.NS,income,2024-03-31 00:00:00,Total Expenses,1296514000.0
SHEETAL.NS,income,2024-03-31 00:00:00,Rent Expense Supplemental,182000.0
SHEETAL.NS,income,2024-03-31 00:00:00,Diluted Average Shares,
SHEETAL.NS,income,2024-03-31 00:00:00,Basic Average Shares,
SHEETAL.NS,income,2024-03-31 00:00:00,Diluted EPS,
SHEETAL.NS,income,2024-03-31 00:00:00,Basic EPS,
SHEETAL.NS,income,2024-03-31 00:00:00,Diluted NI Availto Com Stockholders,20756000.0
SHEETAL.NS,income,2024-03-31 00:00:00,Net Income Common Stockholders,20756000.0
SHEETAL.NS,income,2024-03-31 00:00:00,Otherunder Preferred Stock Dividend,0.0
SHEETAL.NS,income,2024-03-31 00:00:00,Net Income,20756000.0
SHEETAL.NS,income,2024-03-31 00:00:00,Minority Interests,0.0
SHEETAL.NS,income,2024-03-31 00:00:00,Net Income Including Noncontrolling Interests,20756000.0
