line_item,period,value,symbol
Tax Effect Of Unusual Items,2023-03-31 00:00:00,-115090.636017,SPCL.NS
Tax Rate For Calcs,2023-03-31 00:00:00,0.252946,SPCL.NS
Normalized EBITDA,2023-03-31 00:00:00,131618000.0,SPCL.NS
Total Unusual Items,2023-03-31 00:00:00,-455000.0,SPCL.NS
Total Unusual Items Excluding Goodwill,2023-03-31 00:00:00,-455000.0,SPCL.NS
Net Income From Continuing Operation Net Minority Interest,2023-03-31 00:00:00,71626000.0,SPCL.NS
Reconciled Depreciation,2023-03-31 00:00:00,12446000.0,SPCL.NS
Reconciled Cost Of Revenue,2023-03-31 00:00:00,642800000.0,SPCL.NS
EBITDA,2023-03-31 00:00:00,131163000.0,SPCL.NS
EBIT,2023-03-31 00:00:00,118717000.0,SPCL.NS
Net Interest Income,2023-03-31 00:00:00,-23941000.0,SPCL.NS
Interest Expense,2023-03-31 00:00:00,22839000.0,SPCL.NS
Interest Income,2023-03-31 00:00:00,320000.0,SPCL.NS
Normalized Income,2023-03-31 00:00:00,71965909.363983,SPCL.NS
Net Income From Continuing And Discontinued Operation,2023-03-31 00:00:00,71626000.0,SPCL.NS
Total Expenses,2023-03-31 00:00:00,706136000.0,SPCL.NS
Rent Expense Supplemental,2023-03-31 00:00:00,1380000.0,SPCL.NS
Diluted Average Shares,2023-03-31 00:00:00,,SPCL.NS
Basic Average Shares,2023-03-31 00:00:00,,SPCL.NS
Diluted EPS,2023-03-31 00:00:00,,SPCL.NS
Basic EPS,2023-03-31 00:00:00,,SPCL.NS
Diluted NI Availto Com Stockholders,2023-03-31 00:00:00,71626000.0,SPCL.NS
Net Income Common Stockholders,2023-03-31 00:00:00,71626000.0,SPCL.NS
Otherunder Preferred Stock Dividend,2023-03-31 00:00:00,0.0,SPCL.NS
Net Income,2023-03-31 00:00:00,71626000.0,SPCL.NS
Net Income Including Noncontrolling Interests,2023-03-31 00:00:00,71626000.0,SPCL.NS
Net Income Continuous Operations,2023-03-31 00:00:00,71626000.0,SPCL.NS
Tax Provision,2023-03-31 00:00:00,24252000.0,SPCL.NS
Pretax Income,2023-03-31 00:00:00,95878000.0,SPCL.NS
Other Non Operating Income Expenses,2023-03-31 00:00:00,5051000.0,SPCL.NS
Special Income Charges,2023-03-31 00:00:00,-455000.0,SPCL.NS
Other Special Charges,2023-03-31 00:00:00,170000.0,SPCL.NS
Write Off,2023-03-31 00:00:00,285000.0,SPCL.NS
Net Non Operating Interest Income Expense,2023-03-31 00:00:00,-23941000.0,SPCL.NS
Total Other Finance Cost,2023-03-31 00:00:00,1422000.0,SPCL.NS
Interest Expense Non Operating,2023-03-31 00:00:00,22839000.0,SPCL.NS
Interest Income Non Operating,2023-03-31 00:00:00,320000.0,SPCL.NS
Operating Income,2023-03-31 00:00:00,115432000.0,SPCL.NS
Operating Expense,2023-03-31 00:00:00,63336000.0,SPCL.NS
Other Operating Expenses,2023-03-31 00:00:00,14337000.0,SPCL.NS
Depreciation And Amortization In Income Statement,2023-03-31 00:00:00,12446000.0,SPCL.NS
Depreciation Income Statement,2023-03-31 00:00:00,12446000.0,SPCL.NS
Selling General And Administration,2023-03-31 00:00:00,10451000.0,SPCL.NS
Selling And Marketing Expense,2023-03-31 00:00:00,5183000.0,SPCL.NS
General And Administrative Expense,2023-03-31 00:00:00,5268000.0,SPCL.NS
Rent And Landing Fees,2023-03-31 00:00:00,1380000.0,SPCL.NS
Gross Profit,2023-03-31 00:00:00,178768000.0,SPCL.NS
Cost Of Revenue,2023-03-31 00:00:00,642800000.0,SPCL.NS
Total Revenue,2023-03-31 00:00:00,821568000.0,SPCL.NS
Operating Revenue,2023-03-31 00:00:00,821568000.0,SPCL.NS
Tax Effect Of Unusual Items,2022-03-31 00:00:00,-10195.731771,SPCL.NS
Tax Rate For Calcs,2022-03-31 00:00:00,0.085678,SPCL.NS
Normalized EBITDA,2022-03-31 00:00:00,50009000.0,SPCL.NS
Total Unusual Items,2022-03-31 00:00:00,-119000.0,SPCL.NS
Total Unusual Items Excluding Goodwill,2022-03-31 00:00:00,-119000.0,SPCL.NS
Net Income From Continuing Operation Net Minority Interest,2022-03-31 00:00:00,17479000.0,SPCL.NS
Reconciled Depreciation,2022-03-31 00:00:00,10690000.0,SPCL.NS
Reconciled Cost Of Revenue,2022-03-31 00:00:00,489446000.0,SPCL.NS
EBITDA,2022-03-31 00:00:00,49890000.0,SPCL.NS
EBIT,2022-03-31 00:00:00,39200000.0,SPCL.NS
Net Interest Income,2022-03-31 00:00:00,-21226000.0,SPCL.NS
Interest Expense,2022-03-31 00:00:00,20082000.0,SPCL.NS
Interest Income,2022-03-31 00:00:00,196000.0,SPCL.NS
Normalized Income,2022-03-31 00:00:00,17587804.268229,SPCL.NS
Net Income From Continuing And Discontinued Operation,2022-03-31 00:00:00,17479000.0,SPCL.NS
Total Expenses,2022-03-31 00:00:00,533485000.0,SPCL.NS
Rent Expense Supplemental,2022-03-31 00:00:00,0.0,SPCL.NS
Diluted Average Shares,2022-03-31 00:00:00,24115754.0,SPCL.NS
Basic Average Shares,2022-03-31 00:00:00,24115754.0,SPCL.NS
Diluted EPS,2022-03-31 00:00:00,0.724796,SPCL.NS
Basic EPS,2022-03-31 00:00:00,0.724796,SPCL.NS
Diluted NI Availto Com Stockholders,2022-03-31 00:00:00,17479000.0,SPCL.NS
Net Income Common Stockholders,2022-03-31 00:00:00,17479000.0,SPCL.NS
Otherunder Preferred Stock Dividend,2022-03-31 00:00:00,0.0,SPCL.NS
Net Income,2022-03-31 00:00:00,17479000.0,SPCL.NS
Net Income Including Noncontrolling Interests,2022-03-31 00:00:00,17480000.0,SPCL.NS
Net Income Continuous Operations,2022-03-31 00:00:00,17480000.0,SPCL.NS
Tax Provision,2022-03-31 00:00:00,1638000.0,SPCL.NS
