symbol,statement_type,period_end,line_item,value
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Tax Effect Of Unusual Items,4882023.967503
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Tax Rate For Calcs,0.234228
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Normalized EBITDA,447041000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Total Unusual Items,9156000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Total Unusual Items Excluding Goodwill,20843000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Net Income From Continuing Operation Net Minority Interest,124821000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Reconciled Depreciation,181344000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Reconciled Cost Of Revenue,4825099000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,EBITDA,456197000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,EBIT,274853000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Net Interest Income,-119160000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Interest Expense,121729000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Interest Income,33039000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Normalized Income,97173023.967503
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Net Income From Continuing And Discontinued Operation,124821000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Total Expenses,6204612000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Rent Expense Supplemental,18870000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Diluted Average Shares,10749700.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Basic Average Shares,10749700.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Diluted EPS,11.61
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Basic EPS,11.61
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Diluted NI Availto Com Stockholders,124821000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Net Income Common Stockholders,124821000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Otherunder Preferred Stock Dividend,0.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Net Income,124821000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Minority Interests,-13474000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Net Income Including Noncontrolling Interests,138295000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Net Income Continuous Operations,138295000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Tax Provision,35866000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Pretax Income,153124000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Other Non Operating Income Expenses,36885000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Special Income Charges,16646000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Other Special Charges,-17439000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Write Off,12480000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Net Non Operating Interest Income Expense,-119160000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Total Other Finance Cost,30470000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Interest Expense Non Operating,121729000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Interest Income Non Operating,33039000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Operating Income,179001000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Operating Expense,1379513000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Other Operating Expenses,201976000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Depreciation And Amortization In Income Statement,181344000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Depreciation Income Statement,181344000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Research And Development,13332000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Selling General And Administration,456819000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Selling And Marketing Expense,374695000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,General And Administrative Expense,82124000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Rent And Landing Fees,18870000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Gross Profit,1558514000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Cost Of Revenue,4825099000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Total Revenue,6383613000.0
SUPERHOUSE.NS,income,2024-03-31 00:00:00,Operating Revenue,6383613000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Tax Effect Of Unusual Items,-2862609.676021
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Tax Rate For Calcs,0.247931
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Normalized EBITDA,644890000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Total Unusual Items,-11546000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Total Unusual Items Excluding Goodwill,-11546000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Net Income From Continuing Operation Net Minority Interest,265041000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Reconciled Depreciation,160068000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Reconciled Cost Of Revenue,5680632000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,EBITDA,633344000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,EBIT,473276000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Net Interest Income,-115648000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Interest Expense,101987000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Interest Income,22131000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Normalized Income,273724390.323979
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Net Income From Continuing And Discontinued Operation,265041000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Total Expenses,6939345000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Rent Expense Supplemental,20918000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Diluted Average Shares,11025000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Basic Average Shares,11025000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Diluted EPS,24.04
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Basic EPS,24.04
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Diluted NI Availto Com Stockholders,265041000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Net Income Common Stockholders,265041000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Otherunder Preferred Stock Dividend,0.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Net Income,265041000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Minority Interests,-37473000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Net Income Including Noncontrolling Interests,302514000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Net Income Continuous Operations,302514000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Tax Provision,92054000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Pretax Income,371289000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Other Non Operating Income Expenses,54394000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Special Income Charges,-11546000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Other Special Charges,-9118000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Write Off,20664000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Net Non Operating Interest Income Expense,-115648000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Total Other Finance Cost,35792000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Interest Expense Non Operating,101987000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Interest Income Non Operating,22131000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Operating Income,326504000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Operating Expense,1258713000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Other Operating Expenses,198810000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Depreciation And Amortization In Income Statement,160068000.0
SUPERHOUSE.NS,income,2023-03-31 00:00:00,Depreciation Income Statement,160068000.0
