symbol,statement_type,period_end,line_item,value
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Ordinary Shares Number,62284124.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Share Issued,62284124.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Total Debt,1922908000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Tangible Book Value,28517193000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Invested Capital,28605689000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Working Capital,22678152000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Net Tangible Assets,28517193000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Capital Lease Obligations,1922908000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Common Stock Equity,28605689000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Total Capitalization,28605689000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Total Equity Gross Minority Interest,28599689000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Stockholders Equity,28605689000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Other Equity Interest,27976848000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Retained Earnings,
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Capital Stock,628841000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Common Stock,628841000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Total Liabilities Net Minority Interest,7257487000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Total Non Current Liabilities Net Minority Interest,1960657000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Non Current Pension And Other Postretirement Benefit Plans,
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Long Term Debt And Capital Lease Obligation,1393126000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Long Term Capital Lease Obligation,1393126000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Long Term Provisions,567531000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Current Liabilities,5296830000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Other Current Liabilities,1256346000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Current Deferred Taxes Liabilities,
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Current Debt And Capital Lease Obligation,529782000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Current Capital Lease Obligation,529782000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Pensionand Other Post Retirement Benefit Plans Current,
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Current Provisions,491587000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Payables,2098054000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Other Payable,
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Dividends Payable,
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Total Tax Payable,867962000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Accounts Payable,1230092000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Total Assets,35857176000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Total Non Current Assets,7882194000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Other Non Current Assets,7965000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Non Current Prepaid Assets,
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Non Current Deferred Taxes Assets,376262000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Investmentin Financial Assets,3963881000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Available For Sale Securities,3963881000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Goodwill And Other Intangible Assets,88496000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Other Intangible Assets,
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Net PPE,3108066000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Accumulated Depreciation,
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Gross PPE,3108066000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Construction In Progress,16173000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Other Properties,3091893000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Machinery Furniture Equipment,
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Buildings And Improvements,
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Land And Improvements,
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Properties,
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Current Assets,27974982000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Other Current Assets,1914997000.0
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Hedging Assets Current,
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Current Deferred Assets,
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Restricted Cash,
TATAELXSI.NS,balance_sheet,2025-03-31 00:00:00,Prepaid Assets,
