symbol,statement_type,period_end,line_item,value
VISHNUINFR.NS,income,2024-03-31 00:00:00,Tax Effect Of Unusual Items,0.0
VISHNUINFR.NS,income,2024-03-31 00:00:00,Tax Rate For Calcs,0.28563
VISHNUINFR.NS,income,2024-03-31 00:00:00,Normalized EBITDA,488182000.0
VISHNUINFR.NS,income,2024-03-31 00:00:00,Total Unusual Items,0.0
VISHNUINFR.NS,income,2024-03-31 00:00:00,Total Unusual Items Excluding Goodwill,0.0
VISHNUINFR.NS,income,2024-03-31 00:00:00,Net Income From Continuing Operation Net Minority Interest,275831000.0
VISHNUINFR.NS,income,2024-03-31 00:00:00,Reconciled Depreciation,68445000.0
VISHNUINFR.NS,income,2024-03-31 00:00:00,Reconciled Cost Of Revenue,1696496000.0
VISHNUINFR.NS,income,2024-03-31 00:00:00,EBITDA,488182000.0
VISHNUINFR.NS,income,2024-03-31 00:00:00,EBIT,419737000.0
VISHNUINFR.NS,income,2024-03-31 00:00:00,Net Interest Income,-33619000.0
VISHNUINFR.NS,income,2024-03-31 00:00:00,Interest Expense,33619000.0
VISHNUINFR.NS,income,2024-03-31 00:00:00,Interest Income,
VISHNUINFR.NS,income,2024-03-31 00:00:00,Normalized Income,275831000.0
VISHNUINFR.NS,income,2024-03-31 00:00:00,Net Income From Continuing And Discontinued Operation,275831000.0
VISHNUINFR.NS,income,2024-03-31 00:00:00,Total Expenses,1895311000.0
VISHNUINFR.NS,income,2024-03-31 00:00:00,Rent Expense Supplemental,
VISHNUINFR.NS,income,2024-03-31 00:00:00,Diluted Average Shares,
VISHNUINFR.NS,income,2024-03-31 00:00:00,Basic Average Shares,
VISHNUINFR.NS,income,2024-03-31 00:00:00,Diluted EPS,
VISHNUINFR.NS,income,2024-03-31 00:00:00,Basic EPS,
VISHNUINFR.NS,income,2024-03-31 00:00:00,Diluted NI Availto Com Stockholders,275831000.0
VISHNUINFR.NS,income,2024-03-31 00:00:00,Net Income Common Stockholders,275831000.0
VISHNUINFR.NS,income,2024-03-31 00:00:00,Otherunder Preferred Stock Dividend,0.0
VISHNUINFR.NS,income,2024-03-31 00:00:00,Net Income,275831000.0
VISHNUINFR.NS,income,2024-03-31 00:00:00,Net Income Including Noncontrolling Interests,275831000.0
VISHNUINFR.NS,income,2024-03-31 00:00:00,Net Income Continuous Operations,275831000.0
VISHNUINFR.NS,income,2024-03-31 00:00:00,Tax Provision,110287000.0
VISHNUINFR.NS,income,2024-03-31 00:00:00,Pretax Income,386118000.0
VISHNUINFR.NS,income,2024-03-31 00:00:00,Other Non Operating Income Expenses,9697000.0
VISHNUINFR.NS,income,2024-03-31 00:00:00,Special Income Charges,0.0
VISHNUINFR.NS,income,2024-03-31 00:00:00,Other Special Charges,
VISHNUINFR.NS,income,2024-03-31 00:00:00,Write Off,
VISHNUINFR.NS,income,2024-03-31 00:00:00,Net Non Operating Interest Income Expense,-33619000.0
VISHNUINFR.NS,income,2024-03-31 00:00:00,Total Other Finance Cost,
VISHNUINFR.NS,income,2024-03-31 00:00:00,Interest Expense Non Operating,33619000.0
VISHNUINFR.NS,income,2024-03-31 00:00:00,Interest Income Non Operating,
VISHNUINFR.NS,income,2024-03-31 00:00:00,Operating Income,410040000.0
VISHNUINFR.NS,income,2024-03-31 00:00:00,Operating Expense,198815000.0
VISHNUINFR.NS,income,2024-03-31 00:00:00,Other Operating Expenses,95215000.0
VISHNUINFR.NS,income,2024-03-31 00:00:00,Selling General And Administration,
VISHNUINFR.NS,income,2024-03-31 00:00:00,Selling And Marketing Expense,
VISHNUINFR.NS,income,2024-03-31 00:00:00,General And Administrative Expense,
