symbol,statement_type,period_end,line_item,value
YASHOPTICS.NS,balance_sheet,2023-03-31 00:00:00,Ordinary Shares Number,24765600.0
YASHOPTICS.NS,balance_sheet,2023-03-31 00:00:00,Share Issued,24765600.0
YASHOPTICS.NS,balance_sheet,2023-03-31 00:00:00,Net Debt,103298000.0
YASHOPTICS.NS,balance_sheet,2023-03-31 00:00:00,Total Debt,108547000.0
YASHOPTICS.NS,balance_sheet,2023-03-31 00:00:00,Tangible Book Value,190470000.0
YASHOPTICS.NS,balance_sheet,2023-03-31 00:00:00,Invested Capital,299697000.0
YASHOPTICS.NS,balance_sheet,2023-03-31 00:00:00,Working Capital,224609000.0
YASHOPTICS.NS,balance_sheet,2023-03-31 00:00:00,Net Tangible Assets,190470000.0
YASHOPTICS.NS,balance_sheet,2023-03-31 00:00:00,Common Stock Equity,191150000.0
YASHOPTICS.NS,balance_sheet,2023-03-31 00:00:00,Total Capitalization,299681000.0
YASHOPTICS.NS,balance_sheet,2023-03-31 00:00:00,Total Equity Gross Minority Interest,191150000.0
YASHOPTICS.NS,balance_sheet,2023-03-31 00:00:00,Stockholders Equity,191150000.0
YASHOPTICS.NS,balance_sheet,2023-03-31 00:00:00,Retained Earnings,191050000.0
YASHOPTICS.NS,balance_sheet,2023-03-31 00:00:00,Capital Stock,100000.0
YASHOPTICS.NS,balance_sheet,2023-03-31 00:00:00,Common Stock,100000.0
YASHOPTICS.NS,balance_sheet,2023-03-31 00:00:00,Total Liabilities Net Minority Interest,150276000.0
YASHOPTICS.NS,balance_sheet,2023-03-31 00:00:00,Total Non Current Liabilities Net Minority Interest,114646000.0
YASHOPTICS.NS,balance_sheet,2023-03-31 00:00:00,Other Non Current Liabilities,
YASHOPTICS.NS,balance_sheet,2023-03-31 00:00:00,Non Current Pension And Other Postretirement Benefit Plans,5833000.0
YASHOPTICS.NS,balance_sheet,2023-03-31 00:00:00,Non Current Deferred Taxes Liabilities,282000.0
YASHOPTICS.NS,balance_sheet,2023-03-31 00:00:00,Long Term Debt And Capital Lease Obligation,108531000.0
